COD_REG;COD_ISTAT;PRO_COM;SEZ2011;SEZ;COD_LOC;TIPO_LOC
15.0;15065014.0;65014.0;650140000204;204.0;10001.0;1.0
15.0;15065014.0;65014.0;650140000001;1.0;10001.0;1.0
15.0;15065014.0;65014.0;650140000194;194.0;10001.0;1.0
15.0;15065014.0;65014.0;650140000103;103.0;10001.0;1.0
15.0;15065014.0;65014.0;650140000072;72.0;10001.0;1.0
15.0;15065014.0;65014.0;650140000484;484.0;40005.0;4.0
15.0;15065025.0;65025.0;650250000028;28.0;10001.0;1.0
15.0;15065014.0;65014.0;650140000487;487.0;10001.0;1.0
15.0;15065014.0;65014.0;650140000196;196.0;10001.0;1.0
15.0;15065014.0;65014.0;650140000004;4.0;10001.0;1.0
15.0;15065014.0;65014.0;650140000026;26.0;10001.0;1.0
15.0;15065014.0;65014.0;650140000195;195.0;10001.0;1.0
15.0;15065014.0;65014.0;650140000015;15.0;10001.0;1.0
15.0;15065014.0;65014.0;650140000244;244.0;10001.0;1.0
15.0;15065050.0;65050.0;650500000512;512.0;30001.0;3.0
15.0;15065014.0;65014.0;650140000124;124.0;10001.0;1.0
15.0;15065014.0;65014.0;650140000119;119.0;10001.0;1.0
15.0;15065014.0;65014.0;650140000326;326.0;10001.0;1.0
15.0;15065116.0;65116.0;651160000683;683.0;10007.0;1.0
15.0;15065116.0;65116.0;651160000589;589.0;10007.0;1.0
15.0;15065116.0;65116.0;651160000612;612.0;10007.0;1.0
15.0;15065116.0;65116.0;651160000832;832.0;10007.0;1.0
15.0;15065116.0;65116.0;651160000770;770.0;10007.0;1.0
15.0;15065121.0;65121.0;651210000008;8.0;26608.0;2.0
15.0;15065116.0;65116.0;651160001002;1002.0;10007.0;1.0
15.0;15065116.0;65116.0;651160000908;908.0;10007.0;1.0
15.0;15065116.0;65116.0;651160000552;552.0;10007.0;1.0
15.0;15065116.0;65116.0;651160000905;905.0;10007.0;1.0
15.0;15065099.0;65099.0;650990000031;31.0;10005.0;1.0
15.0;15065116.0;65116.0;651160000988;988.0;10007.0;1.0
15.0;15065116.0;65116.0;651160000643;643.0;10007.0;1.0
15.0;15065116.0;65116.0;651160000841;841.0;10007.0;1.0
15.0;15065116.0;65116.0;651160001093;1093.0;10007.0;1.0
15.0;15065116.0;65116.0;651160000971;971.0;10007.0;1.0
15.0;15065116.0;65116.0;651160000562;562.0;10007.0;1.0
15.0;15065116.0;65116.0;651160000899;899.0;10007.0;1.0
15.0;15061009.0;61009.0;610090000034;34.0;40001.0;4.0
15.0;15061022.0;61022.0;610220000067;67.0;10001.0;1.0
15.0;15061021.0;61021.0;610210000028;28.0;10001.0;1.0
15.0;15062073.0;62073.0;620730000018;18.0;40001.0;4.0
15.0;15061022.0;61022.0;610220000162;162.0;10001.0;1.0
15.0;15061097.0;61097.0;610970000001;1.0;10001.0;1.0
15.0;15062027.0;62027.0;620270000005;5.0;20002.0;2.0
15.0;15062035.0;62035.0;620350000003;3.0;10001.0;1.0
15.0;15062040.0;62040.0;620400000005;5.0;10001.0;1.0
15.0;15061022.0;61022.0;610220000232;232.0;40001.0;4.0
15.0;15061022.0;61022.0;610220000223;223.0;10001.0;1.0
15.0;15061056.0;61056.0;610560000007;7.0;26603.0;2.0
15.0;15061023.0;61023.0;610230000004;4.0;26702.0;2.0
15.0;15062070.0;62070.0;620700000137;137.0;10007.0;1.0
15.0;15062070.0;62070.0;620700000094;94.0;42011.0;4.0
15.0;15061022.0;61022.0;610220000273;273.0;10001.0;1.0
15.0;15061078.0;61078.0;610780000003;3.0;10001.0;1.0
15.0;15061022.0;61022.0;610220000021;21.0;10001.0;1.0
15.0;15061022.0;61022.0;610220000038;38.0;10001.0;1.0
15.0;15061018.0;61018.0;610180000010;10.0;10001.0;1.0
15.0;15062070.0;62070.0;620700000010;10.0;10007.0;1.0
15.0;15062070.0;62070.0;620700000134;134.0;10001.0;1.0
15.0;15061026.0;61026.0;610260000029;29.0;40001.0;4.0
15.0;15062019.0;62019.0;620190000002;2.0;20002.0;2.0
15.0;15062070.0;62070.0;620700000083;83.0;20049.0;2.0
15.0;15062070.0;62070.0;620700000042;42.0;10008.0;1.0
15.0;15062070.0;62070.0;620700000082;82.0;20019.0;2.0
15.0;15062029.0;62029.0;620290000027;27.0;40001.0;4.0
15.0;15061026.0;61026.0;610260000022;22.0;40001.0;4.0
15.0;15062070.0;62070.0;620700000072;72.0;10002.0;1.0
15.0;15062070.0;62070.0;620700000048;48.0;20027.0;2.0
15.0;15062073.0;62073.0;620730000010;10.0;10002.0;1.0
15.0;15061018.0;61018.0;610180000020;20.0;40001.0;4.0
15.0;15061067.0;61067.0;610670000010;10.0;10001.0;1.0
15.0;15061018.0;61018.0;610180000016;16.0;10001.0;1.0
15.0;15062028.0;62028.0;620280000002;2.0;10001.0;1.0
15.0;15062070.0;62070.0;620700000012;12.0;10007.0;1.0
15.0;15062068.0;62068.0;620680000015;15.0;40001.0;4.0
15.0;15061097.0;61097.0;610970000003;3.0;20005.0;2.0
15.0;15061022.0;61022.0;610220000269;269.0;10001.0;1.0
15.0;15062027.0;62027.0;620270000004;4.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000472;472.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000136;136.0;10001.0;1.0
15.0;15064083.0;64083.0;640830000019;19.0;40002.0;4.0
15.0;15064083.0;64083.0;640830000018;18.0;20011.0;2.0
15.0;15062008.0;62008.0;620080000561;561.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000565;565.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000035;35.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000006;6.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000091;91.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000036;36.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000021;21.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000464;464.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000107;107.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000062;62.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000048;48.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000063;63.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000490;490.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000504;504.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000544;544.0;10001.0;1.0
15.0;15062043.0;62043.0;620430000044;44.0;40001.0;4.0
15.0;15062008.0;62008.0;620080000211;211.0;10001.0;1.0
15.0;15062043.0;62043.0;620430000047;47.0;26704.0;2.0
15.0;15062043.0;62043.0;620430000004;4.0;10002.0;1.0
15.0;15062022.0;62022.0;620220000006;6.0;10002.0;1.0
15.0;15062008.0;62008.0;620080000161;161.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000168;168.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000191;191.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000026;26.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000038;38.0;10001.0;1.0
15.0;15062008.0;62008.0;620080000050;50.0;10001.0;1.0
15.0;15064095.0;64095.0;640950000017;17.0;20007.0;2.0
15.0;15064058.0;64058.0;640580000009;9.0;10003.0;1.0
15.0;15064057.0;64057.0;640570000012;12.0;10001.0;1.0
15.0;15064001.0;64001.0;640010000004;4.0;10001.0;1.0
15.0;15064095.0;64095.0;640950000011;11.0;20001.0;2.0
15.0;15064001.0;64001.0;640010000033;33.0;40001.0;4.0
15.0;15064057.0;64057.0;640570000027;27.0;40001.0;4.0
15.0;15064042.0;64042.0;640420000016;16.0;40001.0;4.0
15.0;15064058.0;64058.0;640580000001;1.0;10002.0;1.0
15.0;15064075.0;64075.0;640750000019;19.0;10001.0;1.0
15.0;15064059.0;64059.0;640590000018;18.0;10003.0;1.0
15.0;15064117.0;64117.0;641170000003;3.0;26601.0;2.0
15.0;15064099.0;64099.0;640990000023;23.0;20002.0;2.0
15.0;15064119.0;64119.0;641190000005;5.0;10001.0;1.0
15.0;15064074.0;64074.0;640740000001;1.0;10001.0;1.0
15.0;15064026.0;64026.0;640260000009;9.0;26701.0;2.0
15.0;15064006.0;64006.0;640060000022;22.0;10002.0;1.0
15.0;15064057.0;64057.0;640570000007;7.0;10001.0;1.0
15.0;15064046.0;64046.0;640460000007;7.0;10003.0;1.0
15.0;15064006.0;64006.0;640060000006;6.0;10001.0;1.0
15.0;15064070.0;64070.0;640700000003;3.0;40001.0;4.0
15.0;15064055.0;64055.0;640550000021;21.0;25102.0;2.0
15.0;15064070.0;64070.0;640700000018;18.0;42011.0;4.0
15.0;15064070.0;64070.0;640700000012;12.0;42011.0;4.0
15.0;15064001.0;64001.0;640010000034;34.0;10002.0;1.0
15.0;15064095.0;64095.0;640950000023;23.0;20002.0;2.0
15.0;15064119.0;64119.0;641190000007;7.0;10001.0;1.0
