zona_climatica;kE8E9;kE10E11;kE12E13;kE14E15;kE16;k2015
A;132.13;124.32;118.79;120.69;79.4;85.06
B;174.63;146.69;143.5;133.21;120.54;81.59
C;203.56;174.38;166.53;147.55;119.44;63.56
D;202.62;178.29;171.63;155.13;119.73;65.8
E;245.28;218.93;199.05;164.59;118.67;55.1
F;299.14;263.26;238.4;194.31;131.62;80.02
