zona_climatica;periodo;SURIS;EPgl_nren;EPgl_ren;CO2
C;kE16;500-1000;85.93;16.4;16.84
C;kE16;1000-5000;0.0;0.0;0.0
C;kE16;>5000;0.0;0.0;0.0
C;k2015;<50;77.42;37.13;16.31
C;k2015;50-100;57.58;30.98;12.04
C;k2015;100-200;65.77;29.42;13.58
C;k2015;200-500;69.46;30.86;14.38
C;k2015;500-1000;69.17;13.34;13.81
C;k2015;1000-5000;0.0;0.0;0.0
C;k2015;>5000;0.0;0.0;0.0
D;kE8E9;<50;231.7;18.32;45.98
D;kE8E9;50-100;197.77;13.52;39.28
D;kE8E9;100-200;184.91;16.06;36.92
D;kE8E9;200-500;174.31;20.43;35.14
D;kE8E9;500-1000;151.92;14.29;30.58
D;kE8E9;1000-5000;0.0;0.0;0.0
D;kE8E9;>5000;0.0;0.0;0.0
D;kE10E11;<50;210.22;16.01;41.87
D;kE10E11;50-100;175.73;10.58;34.88
D;kE10E11;100-200;166.8;12.93;33.2
D;kE10E11;200-500;159.69;21.25;31.98
D;kE10E11;500-1000;123.51;7.04;24.01
D;kE10E11;1000-5000;0.0;0.0;0.0
D;kE10E11;>5000;0.0;0.0;0.0
D;kE12E13;<50;205.51;17.16;41.07
D;kE12E13;50-100;170.18;10.6;33.83
D;kE12E13;100-200;161.68;14.74;32.17
D;kE12E13;200-500;150.42;22.36;29.99
D;kE12E13;500-1000;122.92;7.27;25.34
D;kE12E13;1000-5000;0.0;0.0;0.0
D;kE12E13;>5000;0.0;0.0;0.0
D;kE14E15;<50;181.8;14.33;36.42
D;kE14E15;50-100;153.46;9.68;30.53
D;kE14E15;100-200;143.96;17.72;28.77
D;kE14E15;200-500;129.44;23.25;25.88
D;kE14E15;500-1000;120.71;12.22;24.08
D;kE14E15;1000-5000;0.0;0.0;0.0
D;kE14E15;>5000;0.0;0.0;0.0
D;kE16;<50;131.14;17.18;26.6
D;kE16;50-100;117.22;12.45;23.54
D;kE16;100-200;112.21;18.97;22.53
D;kE16;200-500;98.33;27.58;20.0
D;kE16;500-1000;77.47;13.54;14.97
D;kE16;1000-5000;0.0;0.0;0.0
D;kE16;>5000;0.0;0.0;0.0
D;k2015;<50;67.96;37.92;14.12
D;k2015;50-100;62.69;32.23;12.89
D;k2015;100-200;69.87;34.4;14.25
D;k2015;200-500;75.9;37.0;15.71
D;k2015;500-1000;66.12;23.66;13.32
D;k2015;1000-5000;0.0;0.0;0.0
D;k2015;>5000;0.0;0.0;0.0
E;kE8E9;<50;254.85;19.31;50.6
E;kE8E9;50-100;246.09;16.77;48.76
E;kE8E9;100-200;239.6;24.09;47.74
E;kE8E9;200-500;220.21;27.2;44.12
E;kE8E9;500-1000;199.51;14.72;39.83
E;kE8E9;1000-5000;0.0;0.0;0.0
E;kE8E9;>5000;0.0;0.0;0.0
E;kE10E11;<50;231.68;18.32;46.66
E;kE10E11;50-100;215.57;12.46;43.38
E;kE10E11;100-200;220.17;18.09;44.18
E;kE10E11;200-500;204.27;23.29;40.95
E;kE10E11;500-1000;189.93;11.6;38.45
E;kE10E11;1000-5000;0.0;0.0;0.0
E;kE10E11;>5000;0.0;0.0;0.0
E;kE12E13;<50;223.96;21.61;45.26
E;kE12E13;50-100;195.18;11.14;39.02
E;kE12E13;100-200;198.56;19.18;39.86
E;kE12E13;200-500;181.53;23.67;36.64
E;kE12E13;500-1000;172.13;13.58;35.23
E;kE12E13;1000-5000;0.0;0.0;0.0
E;kE12E13;>5000;0.0;0.0;0.0
E;kE14E15;<50;176.81;10.11;35.54
E;kE14E15;50-100;163.76;8.33;32.61
E;kE14E15;100-200;159.94;17.88;31.89
E;kE14E15;200-500;144.69;24.2;29.02
E;kE14E15;500-1000;129.82;12.53;26.14
E;kE14E15;1000-5000;0.0;0.0;0.0
E;kE14E15;>5000;0.0;0.0;0.0
E;kE16;<50;133.54;17.36;27.25
E;kE16;50-100;119.45;15.96;24.24
E;kE16;100-200;105.86;23.81;21.54
E;kE16;200-500;96.44;31.89;19.73
E;kE16;500-1000;116.03;17.75;23.34
E;kE16;1000-5000;0.0;0.0;0.0
E;kE16;>5000;0.0;0.0;0.0
E;k2015;<50;72.94;47.11;15.97
E;k2015;50-100;54.31;44.46;11.9
E;k2015;100-200;50.68;48.74;10.95
E;k2015;200-500;54.47;46.26;11.65
E;k2015;500-1000;47.17;48.35;10.0
E;k2015;1000-5000;0.0;0.0;0.0
E;k2015;>5000;0.0;0.0;0.0
F;kE8E9;<50;319.05;39.94;64.83
F;kE8E9;50-100;300.71;39.53;61.41
F;kE8E9;100-200;280.48;44.39;57.53
F;kE8E9;200-500;260.21;41.2;53.88
F;kE8E9;500-1000;243.89;25.92;53.57
F;kE8E9;1000-5000;0.0;0.0;0.0
F;kE8E9;>5000;0.0;0.0;0.0
F;kE10E11;<50;280.82;30.24;59.74
F;kE10E11;50-100;262.72;29.3;55.64
F;kE10E11;100-200;249.61;33.04;52.9
F;kE10E11;200-500;227.18;35.88;49.31
F;kE10E11;500-1000;228.92;19.09;52.96
F;kE10E11;1000-5000;0.0;0.0;0.0
F;kE10E11;>5000;0.0;0.0;0.0
F;kE12E13;<50;249.61;27.36;55.18
F;kE12E13;50-100;238.71;27.24;51.66
F;kE12E13;100-200;220.18;36.54;47.67
F;kE12E13;200-500;194.08;38.47;42.89
F;kE12E13;500-1000;167.94;27.16;37.85
F;kE12E13;1000-5000;0.0;0.0;0.0
F;kE12E13;>5000;0.0;0.0;0.0
F;kE14E15;<50;219.21;23.56;47.65
F;kE14E15;50-100;193.44;20.99;41.46
F;kE14E15;100-200;173.82;33.74;37.08
F;kE14E15;200-500;150.37;42.39;32.35
F;kE14E15;500-1000;122.99;31.34;29.86
F;kE14E15;1000-5000;0.0;0.0;0.0
F;kE14E15;>5000;0.0;0.0;0.0
F;kE16;<50;148.85;33.79;32.89
F;kE16;50-100;130.7;31.1;28.15
F;kE16;100-200;117.55;38.44;24.85
F;kE16;200-500;101.53;44.35;21.94
F;kE16;500-1000;74.16;29.62;18.73
F;kE16;1000-5000;0.0;0.0;0.0
F;kE16;>5000;0.0;0.0;0.0
F;k2015;<50;101.03;58.46;22.53
F;k2015;50-100;81.76;51.87;17.97
F;k2015;100-200;70.02;54.35;15.17
F;k2015;200-500;57.06;54.9;12.77
F;k2015;500-1000;58.82;40.15;13.43
F;k2015;1000-5000;0.0;0.0;0.0
F;k2015;>5000;0.0;0.0;0.0
