zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;Superficie Disperdente;EPgl_nren
A;kE16;200-500;200-500;100-200;37.88
A;kE16;200-500;500-1000;200-500;24.21
A;k2015;<50;100-200;50-100;146.28
A;k2015;<50;100-200;100-200;136.52
A;k2015;<50;100-200;200-500;45.39
A;k2015;50-100;100-200;100-200;125.43
A;k2015;50-100;200-500;50-100;177.8
A;k2015;50-100;200-500;100-200;109.07
A;k2015;50-100;200-500;200-500;57.5
A;k2015;100-200;200-500;100-200;87.28
A;k2015;100-200;200-500;200-500;59.0
A;k2015;100-200;500-1000;200-500;78.32
A;k2015;100-200;500-1000;500-1000;72.79
A;k2015;200-500;500-1000;500-1000;38.77
A;k2015;200-500;1000-5000;1000-5000;38.77
B;kE8E9;<50;50-100;<50;165.69
B;kE8E9;<50;50-100;50-100;202.2
B;kE8E9;<50;50-100;100-200;269.93
B;kE8E9;<50;50-100;200-500;328.96
B;kE8E9;<50;100-200;<50;135.44
B;kE8E9;<50;100-200;50-100;148.1
B;kE8E9;<50;100-200;100-200;210.41
B;kE8E9;<50;100-200;200-500;257.48
B;kE8E9;<50;100-200;500-1000;355.03
B;kE8E9;<50;200-500;<50;119.48
B;kE8E9;<50;200-500;50-100;129.79
B;kE8E9;<50;200-500;100-200;172.81
B;kE8E9;<50;200-500;200-500;247.79
B;kE8E9;<50;200-500;500-1000;469.28
B;kE8E9;<50;500-1000;100-200;205.91
B;kE8E9;<50;500-1000;200-500;328.06
B;kE8E9;<50;500-1000;500-1000;383.38
B;kE8E9;<50;1000-5000;500-1000;383.01
B;kE8E9;50-100;50-100;<50;118.3
B;kE8E9;50-100;50-100;50-100;132.09
B;kE8E9;50-100;50-100;100-200;174.6
B;kE8E9;50-100;50-100;200-500;158.82
B;kE8E9;50-100;100-200;<50;136.02
B;kE8E9;50-100;100-200;50-100;136.11
B;kE8E9;50-100;100-200;100-200;155.01
B;kE8E9;50-100;100-200;200-500;200.94
B;kE8E9;50-100;100-200;500-1000;273.52
B;kE8E9;50-100;100-200;1000-5000;477.25
B;kE8E9;50-100;200-500;<50;114.5
B;kE8E9;50-100;200-500;50-100;114.76
B;kE8E9;50-100;200-500;100-200;130.86
B;kE8E9;50-100;200-500;200-500;196.11
B;kE8E9;50-100;200-500;500-1000;291.04
B;kE8E9;50-100;200-500;1000-5000;401.26
B;kE8E9;50-100;500-1000;<50;107.79
B;kE8E9;50-100;500-1000;50-100;104.3
B;kE8E9;50-100;500-1000;100-200;129.2
B;kE8E9;50-100;500-1000;200-500;193.23
B;kE8E9;50-100;500-1000;500-1000;269.56
B;kE8E9;50-100;1000-5000;50-100;77.36
B;kE8E9;50-100;1000-5000;100-200;167.46
B;kE8E9;50-100;1000-5000;200-500;333.58
B;kE8E9;50-100;1000-5000;500-1000;374.12
B;kE8E9;50-100;1000-5000;1000-5000;485.82
B;kE8E9;100-200;50-100;50-100;114.64
B;kE8E9;100-200;50-100;1000-5000;48.98
