zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;Superficie Disperdente;EPgl_nren
B;kE16;200-500;200-500;100-200;58.84
B;kE16;200-500;200-500;200-500;51.79
B;kE16;200-500;500-1000;<50;44.63
B;kE16;200-500;500-1000;100-200;55.43
B;kE16;200-500;500-1000;200-500;76.94
B;kE16;200-500;500-1000;500-1000;103.17
B;kE16;200-500;500-1000;1000-5000;119.13
B;kE16;200-500;1000-5000;<50;45.22
B;kE16;200-500;1000-5000;200-500;94.47
B;kE16;200-500;1000-5000;500-1000;83.17
B;kE16;200-500;1000-5000;1000-5000;98.53
B;kE16;500-1000;200-500;200-500;41.19
B;kE16;500-1000;500-1000;500-1000;132.68
B;kE16;500-1000;1000-5000;200-500;38.96
B;kE16;500-1000;1000-5000;500-1000;65.27
B;kE16;500-1000;1000-5000;1000-5000;96.63
B;k2015;<50;50-100;<50;153.29
B;k2015;<50;50-100;50-100;96.53
B;k2015;<50;50-100;100-200;150.01
B;k2015;<50;100-200;<50;93.01
B;k2015;<50;100-200;50-100;67.9
B;k2015;<50;100-200;100-200;96.54
B;k2015;<50;100-200;200-500;161.14
B;k2015;<50;100-200;500-1000;376.79
B;k2015;<50;100-200;1000-5000;163.63
B;k2015;<50;200-500;<50;65.63
B;k2015;<50;200-500;50-100;105.49
B;k2015;<50;200-500;100-200;79.1
B;k2015;<50;200-500;200-500;59.75
B;k2015;<50;200-500;500-1000;165.41
B;k2015;<50;200-500;1000-5000;254.35
B;k2015;<50;500-1000;50-100;47.93
B;k2015;50-100;50-100;100-200;127.42
B;k2015;50-100;50-100;200-500;143.74
B;k2015;50-100;100-200;<50;133.74
B;k2015;50-100;100-200;50-100;65.37
B;k2015;50-100;100-200;100-200;82.28
B;k2015;50-100;100-200;200-500;112.45
B;k2015;50-100;100-200;500-1000;116.98
B;k2015;50-100;200-500;<50;72.55
B;k2015;50-100;200-500;50-100;67.74
B;k2015;50-100;200-500;100-200;70.5
B;k2015;50-100;200-500;200-500;90.21
B;k2015;50-100;200-500;500-1000;224.05
B;k2015;50-100;500-1000;100-200;228.14
B;k2015;50-100;500-1000;200-500;85.32
B;k2015;50-100;500-1000;500-1000;150.44
B;k2015;50-100;500-1000;1000-5000;163.62
B;k2015;50-100;1000-5000;200-500;192.31
B;k2015;50-100;1000-5000;500-1000;43.01
B;k2015;100-200;100-200;50-100;67.95
B;k2015;100-200;100-200;100-200;71.87
B;k2015;100-200;100-200;200-500;98.07
B;k2015;100-200;200-500;<50;57.87
B;k2015;100-200;200-500;50-100;81.35
B;k2015;100-200;200-500;100-200;58.75
B;k2015;100-200;200-500;200-500;74.91
B;k2015;100-200;200-500;500-1000;114.57
B;k2015;100-200;200-500;1000-5000;164.74
B;k2015;100-200;500-1000;<50;49.59
B;k2015;100-200;500-1000;50-100;55.28
B;k2015;100-200;500-1000;100-200;76.72
B;k2015;100-200;500-1000;200-500;66.35
B;k2015;100-200;500-1000;500-1000;74.54
B;k2015;100-200;500-1000;1000-5000;193.33
B;k2015;100-200;1000-5000;200-500;63.4
B;k2015;100-200;1000-5000;500-1000;80.04
B;k2015;200-500;100-200;200-500;58.24
B;k2015;200-500;200-500;200-500;54.14
B;k2015;200-500;500-1000;<50;29.97
B;k2015;200-500;500-1000;50-100;31.49
B;k2015;200-500;500-1000;100-200;53.58
B;k2015;200-500;500-1000;200-500;70.26
B;k2015;200-500;500-1000;500-1000;63.57
B;k2015;200-500;500-1000;1000-5000;159.54
B;k2015;200-500;1000-5000;50-100;54.14
B;k2015;200-500;1000-5000;100-200;34.91
B;k2015;200-500;1000-5000;200-500;51.99
B;k2015;200-500;1000-5000;500-1000;58.63
B;k2015;200-500;1000-5000;1000-5000;78.86
B;k2015;500-1000;1000-5000;200-500;33.03
B;k2015;500-1000;1000-5000;500-1000;66.68
B;k2015;500-1000;1000-5000;1000-5000;47.87
C;kE8E9;<50;50-100;<50;180.95
C;kE8E9;<50;50-100;50-100;238.43
C;kE8E9;<50;50-100;100-200;325.2
C;kE8E9;<50;50-100;200-500;316.33
C;kE8E9;<50;50-100;500-1000;149.17
C;kE8E9;<50;100-200;<50;140.53
C;kE8E9;<50;100-200;50-100;166.84
C;kE8E9;<50;100-200;100-200;248.46
C;kE8E9;<50;100-200;200-500;303.01
C;kE8E9;<50;100-200;500-1000;371.63
C;kE8E9;<50;100-200;1000-5000;429.55
C;kE8E9;<50;200-500;<50;139.11
C;kE8E9;<50;200-500;50-100;140.5
C;kE8E9;<50;200-500;100-200;206.78
C;kE8E9;<50;200-500;200-500;290.81
C;kE8E9;<50;200-500;500-1000;348.17
C;kE8E9;<50;500-1000;<50;141.55
C;kE8E9;<50;500-1000;50-100;127.27
C;kE8E9;<50;500-1000;100-200;227.26
C;kE8E9;<50;500-1000;200-500;396.94
C;kE8E9;<50;500-1000;500-1000;434.02
C;kE8E9;<50;500-1000;1000-5000;285.36
C;kE8E9;<50;1000-5000;<50;287.21
C;kE8E9;<50;1000-5000;50-100;143.93
C;kE8E9;<50;1000-5000;100-200;400.8
C;kE8E9;<50;1000-5000;500-1000;567.93
C;kE8E9;<50;1000-5000;1000-5000;201.42
C;kE8E9;50-100;50-100;<50;115.39
C;kE8E9;50-100;50-100;50-100;186.23
C;kE8E9;50-100;50-100;100-200;181.64
C;kE8E9;50-100;50-100;200-500;227.07
C;kE8E9;50-100;50-100;500-1000;399.53
C;kE8E9;50-100;50-100;1000-5000;117.84
C;kE8E9;50-100;100-200;<50;139.96
C;kE8E9;50-100;100-200;50-100;155.56
C;kE8E9;50-100;100-200;100-200;185.51
C;kE8E9;50-100;100-200;200-500;242.76
C;kE8E9;50-100;100-200;500-1000;295.53
C;kE8E9;50-100;200-500;<50;112.56
C;kE8E9;50-100;200-500;50-100;126.37
C;kE8E9;50-100;200-500;100-200;161.02
C;kE8E9;50-100;200-500;200-500;233.48
C;kE8E9;50-100;200-500;500-1000;330.6
C;kE8E9;50-100;200-500;1000-5000;289.39
C;kE8E9;50-100;500-1000;<50;144.48
C;kE8E9;50-100;500-1000;50-100;161.31
C;kE8E9;50-100;500-1000;100-200;142.02
C;kE8E9;50-100;500-1000;200-500;228.24
C;kE8E9;50-100;500-1000;500-1000;289.0
C;kE8E9;50-100;500-1000;1000-5000;398.58
C;kE8E9;50-100;1000-5000;50-100;318.16
C;kE8E9;50-100;1000-5000;100-200;295.09
C;kE8E9;50-100;1000-5000;200-500;303.49
C;kE8E9;50-100;1000-5000;500-1000;419.72
C;kE8E9;50-100;1000-5000;1000-5000;44.27
C;kE8E9;100-200;50-100;50-100;160.75
C;kE8E9;100-200;50-100;100-200;210.68
C;kE8E9;100-200;50-100;200-500;158.19
C;kE8E9;100-200;50-100;500-1000;146.23
C;kE8E9;100-200;50-100;1000-5000;95.9
C;kE8E9;100-200;100-200;<50;170.37
C;kE8E9;100-200;100-200;50-100;144.61
C;kE8E9;100-200;100-200;100-200;129.42
C;kE8E9;100-200;100-200;200-500;174.86
C;kE8E9;100-200;100-200;500-1000;194.47
C;kE8E9;100-200;200-500;<50;106.74
C;kE8E9;100-200;200-500;50-100;98.13
C;kE8E9;100-200;200-500;100-200;123.19
C;kE8E9;100-200;200-500;200-500;181.68
C;kE8E9;100-200;200-500;500-1000;277.6
C;kE8E9;100-200;200-500;1000-5000;400.95
C;kE8E9;100-200;500-1000;<50;122.57
C;kE8E9;100-200;500-1000;50-100;101.45
C;kE8E9;100-200;500-1000;100-200;114.81
C;kE8E9;100-200;500-1000;200-500;172.17
C;kE8E9;100-200;500-1000;500-1000;223.87
C;kE8E9;100-200;500-1000;1000-5000;332.52
C;kE8E9;100-200;1000-5000;<50;160.33
C;kE8E9;100-200;1000-5000;50-100;74.97
C;kE8E9;100-200;1000-5000;100-200;144.86
C;kE8E9;100-200;1000-5000;200-500;165.94
C;kE8E9;100-200;1000-5000;500-1000;208.9
C;kE8E9;100-200;1000-5000;1000-5000;300.7
C;kE8E9;200-500;50-100;100-200;414.12
C;kE8E9;200-500;100-200;50-100;120.83
C;kE8E9;200-500;100-200;500-1000;191.0
C;kE8E9;200-500;200-500;50-100;84.25
C;kE8E9;200-500;200-500;100-200;35.33
C;kE8E9;200-500;200-500;200-500;88.43
C;kE8E9;200-500;200-500;500-1000;229.57
C;kE8E9;200-500;500-1000;<50;94.49
C;kE8E9;200-500;500-1000;50-100;92.39
C;kE8E9;200-500;500-1000;100-200;88.7
C;kE8E9;200-500;500-1000;200-500;120.9
C;kE8E9;200-500;500-1000;500-1000;178.99
C;kE8E9;200-500;500-1000;1000-5000;266.48
C;kE8E9;200-500;1000-5000;<50;100.78
C;kE8E9;200-500;1000-5000;50-100;82.48
C;kE8E9;200-500;1000-5000;100-200;82.04
C;kE8E9;200-500;1000-5000;200-500;122.47
C;kE8E9;200-500;1000-5000;500-1000;164.32
C;kE8E9;200-500;1000-5000;1000-5000;194.05
C;kE8E9;500-1000;200-500;100-200;35.44
C;kE8E9;500-1000;200-500;500-1000;32.69
C;kE8E9;500-1000;500-1000;200-500;39.55
C;kE8E9;500-1000;1000-5000;50-100;38.82
C;kE8E9;500-1000;1000-5000;200-500;40.8
C;kE8E9;500-1000;1000-5000;500-1000;101.81
C;kE8E9;500-1000;1000-5000;1000-5000;144.83
C;kE10E11;<50;50-100;<50;156.32
C;kE10E11;<50;50-100;50-100;222.6
C;kE10E11;<50;50-100;100-200;304.7
C;kE10E11;<50;50-100;200-500;312.02
C;kE10E11;<50;100-200;<50;133.22
C;kE10E11;<50;100-200;50-100;149.3
C;kE10E11;<50;100-200;100-200;215.97
C;kE10E11;<50;100-200;200-500;285.63
C;kE10E11;<50;100-200;500-1000;387.15
C;kE10E11;<50;200-500;<50;144.73
C;kE10E11;<50;200-500;50-100;146.42
C;kE10E11;<50;200-500;100-200;197.49
C;kE10E11;<50;200-500;200-500;284.38
C;kE10E11;<50;200-500;500-1000;379.68
C;kE10E11;<50;500-1000;<50;146.83
C;kE10E11;<50;500-1000;50-100;152.61
C;kE10E11;<50;500-1000;100-200;239.74
C;kE10E11;<50;500-1000;200-500;399.2
C;kE10E11;<50;500-1000;500-1000;262.69
C;kE10E11;<50;1000-5000;50-100;99.99
C;kE10E11;<50;1000-5000;100-200;131.04
C;kE10E11;<50;1000-5000;200-500;145.42
C;kE10E11;<50;1000-5000;500-1000;374.92
C;kE10E11;<50;1000-5000;1000-5000;99.1
C;kE10E11;50-100;50-100;<50;149.1
C;kE10E11;50-100;50-100;50-100;163.31
C;kE10E11;50-100;50-100;100-200;165.23
C;kE10E11;50-100;50-100;200-500;210.15
C;kE10E11;50-100;50-100;500-1000;285.51
C;kE10E11;50-100;50-100;1000-5000;132.99
C;kE10E11;50-100;100-200;<50;120.94
C;kE10E11;50-100;100-200;50-100;135.52
C;kE10E11;50-100;100-200;100-200;174.2
C;kE10E11;50-100;100-200;200-500;233.31
C;kE10E11;50-100;100-200;500-1000;419.16
C;kE10E11;50-100;100-200;1000-5000;111.57
C;kE10E11;50-100;200-500;<50;111.03
C;kE10E11;50-100;200-500;50-100;113.25
C;kE10E11;50-100;200-500;100-200;146.82
C;kE10E11;50-100;200-500;200-500;212.03
C;kE10E11;50-100;200-500;500-1000;327.45
C;kE10E11;50-100;200-500;1000-5000;334.08
C;kE10E11;50-100;500-1000;<50;76.72
C;kE10E11;50-100;500-1000;50-100;177.31
C;kE10E11;50-100;500-1000;100-200;167.38
C;kE10E11;50-100;500-1000;200-500;243.19
C;kE10E11;50-100;500-1000;500-1000;323.35
C;kE10E11;50-100;500-1000;1000-5000;384.21
C;kE10E11;50-100;1000-5000;<50;123.77
C;kE10E11;50-100;1000-5000;50-100;261.78
C;kE10E11;50-100;1000-5000;100-200;171.85
C;kE10E11;50-100;1000-5000;200-500;283.17
C;kE10E11;50-100;1000-5000;500-1000;394.08
C;kE10E11;50-100;1000-5000;1000-5000;341.6
C;kE10E11;100-200;50-100;<50;112.46
C;kE10E11;100-200;50-100;50-100;235.07
C;kE10E11;100-200;50-100;100-200;100.8
C;kE10E11;100-200;50-100;200-500;208.79
C;kE10E11;100-200;50-100;1000-5000;71.99
C;kE10E11;100-200;100-200;<50;156.73
C;kE10E11;100-200;100-200;50-100;124.97
C;kE10E11;100-200;100-200;100-200;153.03
C;kE10E11;100-200;100-200;200-500;171.51
C;kE10E11;100-200;100-200;500-1000;169.74
C;kE10E11;100-200;200-500;<50;107.15
C;kE10E11;100-200;200-500;50-100;93.35
C;kE10E11;100-200;200-500;100-200;109.7
C;kE10E11;100-200;200-500;200-500;174.18
C;kE10E11;100-200;200-500;500-1000;257.55
C;kE10E11;100-200;200-500;1000-5000;375.93
C;kE10E11;100-200;500-1000;<50;113.05
C;kE10E11;100-200;500-1000;50-100;93.87
C;kE10E11;100-200;500-1000;100-200;101.1
C;kE10E11;100-200;500-1000;200-500;161.61
C;kE10E11;100-200;500-1000;500-1000;208.49
C;kE10E11;100-200;500-1000;1000-5000;325.25
C;kE10E11;100-200;1000-5000;<50;60.39
C;kE10E11;100-200;1000-5000;50-100;143.06
C;kE10E11;100-200;1000-5000;100-200;165.69
C;kE10E11;100-200;1000-5000;200-500;186.0
C;kE10E11;100-200;1000-5000;500-1000;243.95
C;kE10E11;100-200;1000-5000;1000-5000;334.25
C;kE10E11;200-500;50-100;100-200;60.18
C;kE10E11;200-500;50-100;200-500;91.1
C;kE10E11;200-500;50-100;500-1000;425.95
C;kE10E11;200-500;100-200;200-500;127.15
C;kE10E11;200-500;100-200;500-1000;201.62
C;kE10E11;200-500;200-500;<50;38.27
C;kE10E11;200-500;200-500;50-100;81.12
C;kE10E11;200-500;200-500;100-200;101.46
C;kE10E11;200-500;200-500;200-500;112.17
C;kE10E11;200-500;200-500;500-1000;159.82
C;kE10E11;200-500;200-500;1000-5000;94.71
C;kE10E11;200-500;500-1000;<50;103.07
C;kE10E11;200-500;500-1000;50-100;84.65
C;kE10E11;200-500;500-1000;100-200;83.5
C;kE10E11;200-500;500-1000;200-500;118.62
C;kE10E11;200-500;500-1000;500-1000;163.62
C;kE10E11;200-500;500-1000;1000-5000;238.0
C;kE10E11;200-500;1000-5000;<50;53.77
C;kE10E11;200-500;1000-5000;50-100;51.02
C;kE10E11;200-500;1000-5000;100-200;72.94
C;kE10E11;200-500;1000-5000;200-500;95.41
C;kE10E11;200-500;1000-5000;500-1000;145.62
C;kE10E11;200-500;1000-5000;1000-5000;176.48
C;kE10E11;500-1000;200-500;50-100;57.07
C;kE10E11;500-1000;200-500;100-200;81.96
C;kE10E11;500-1000;200-500;200-500;33.23
C;kE10E11;500-1000;500-1000;500-1000;45.64
C;kE10E11;500-1000;1000-5000;<50;28.84
C;kE10E11;500-1000;1000-5000;50-100;64.33
C;kE10E11;500-1000;1000-5000;100-200;60.92
C;kE10E11;500-1000;1000-5000;200-500;55.61
C;kE10E11;500-1000;1000-5000;500-1000;85.12
C;kE10E11;500-1000;1000-5000;1000-5000;116.84
C;kE12E13;<50;50-100;<50;155.11
C;kE12E13;<50;50-100;50-100;203.16
C;kE12E13;<50;50-100;100-200;281.28
C;kE12E13;<50;50-100;200-500;415.65
C;kE12E13;<50;50-100;500-1000;211.45
C;kE12E13;<50;100-200;<50;121.49
C;kE12E13;<50;100-200;50-100;146.52
C;kE12E13;<50;100-200;100-200;210.32
C;kE12E13;<50;100-200;200-500;273.59
C;kE12E13;<50;100-200;500-1000;394.16
C;kE12E13;<50;100-200;1000-5000;98.38
C;kE12E13;<50;200-500;<50;130.38
C;kE12E13;<50;200-500;50-100;170.94
C;kE12E13;<50;200-500;100-200;199.03
C;kE12E13;<50;200-500;200-500;279.58
C;kE12E13;<50;200-500;500-1000;350.32
C;kE12E13;<50;500-1000;50-100;272.08
C;kE12E13;<50;500-1000;100-200;190.0
C;kE12E13;<50;500-1000;200-500;393.01
C;kE12E13;<50;1000-5000;100-200;255.66
C;kE12E13;<50;1000-5000;200-500;344.82
C;kE12E13;50-100;50-100;<50;134.32
C;kE12E13;50-100;50-100;50-100;141.76
C;kE12E13;50-100;50-100;100-200;128.7
C;kE12E13;50-100;50-100;200-500;227.45
C;kE12E13;50-100;50-100;500-1000;360.35
C;kE12E13;50-100;100-200;<50;120.85
C;kE12E13;50-100;100-200;50-100;137.7
C;kE12E13;50-100;100-200;100-200;170.04
C;kE12E13;50-100;100-200;200-500;237.22
C;kE12E13;50-100;100-200;500-1000;255.08
C;kE12E13;50-100;100-200;1000-5000;154.07
C;kE12E13;50-100;200-500;<50;103.97
C;kE12E13;50-100;200-500;50-100;108.56
C;kE12E13;50-100;200-500;100-200;139.46
C;kE12E13;50-100;200-500;200-500;200.16
C;kE12E13;50-100;200-500;500-1000;315.14
C;kE12E13;50-100;200-500;1000-5000;310.6
C;kE12E13;50-100;500-1000;<50;91.29
C;kE12E13;50-100;500-1000;50-100;172.26
C;kE12E13;50-100;500-1000;100-200;175.84
C;kE12E13;50-100;500-1000;200-500;256.84
C;kE12E13;50-100;500-1000;500-1000;337.71
C;kE12E13;50-100;500-1000;1000-5000;425.61
C;kE12E13;50-100;1000-5000;<50;70.73
C;kE12E13;50-100;1000-5000;50-100;241.21
C;kE12E13;50-100;1000-5000;100-200;153.5
C;kE12E13;50-100;1000-5000;200-500;305.32
C;kE12E13;50-100;1000-5000;500-1000;394.21
C;kE12E13;50-100;1000-5000;1000-5000;121.86
C;kE12E13;100-200;50-100;<50;376.1
C;kE12E13;100-200;50-100;50-100;189.1
C;kE12E13;100-200;50-100;100-200;81.35
C;kE12E13;100-200;50-100;200-500;131.21
C;kE12E13;100-200;50-100;500-1000;40.63
C;kE12E13;100-200;100-200;<50;142.69
C;kE12E13;100-200;100-200;50-100;132.96
C;kE12E13;100-200;100-200;100-200;139.5
C;kE12E13;100-200;100-200;200-500;169.93
C;kE12E13;100-200;100-200;500-1000;135.7
C;kE12E13;100-200;200-500;<50;111.96
C;kE12E13;100-200;200-500;50-100;91.31
C;kE12E13;100-200;200-500;100-200;106.87
C;kE12E13;100-200;200-500;200-500;164.73
C;kE12E13;100-200;200-500;500-1000;246.67
C;kE12E13;100-200;200-500;1000-5000;271.15
C;kE12E13;100-200;500-1000;<50;90.96
C;kE12E13;100-200;500-1000;50-100;85.91
C;kE12E13;100-200;500-1000;100-200;101.0
C;kE12E13;100-200;500-1000;200-500;148.44
C;kE12E13;100-200;500-1000;500-1000;188.5
C;kE12E13;100-200;500-1000;1000-5000;301.79
C;kE12E13;100-200;1000-5000;<50;68.36
C;kE12E13;100-200;1000-5000;50-100;79.02
C;kE12E13;100-200;1000-5000;100-200;169.82
C;kE12E13;100-200;1000-5000;200-500;198.16
C;kE12E13;100-200;1000-5000;500-1000;258.78
C;kE12E13;100-200;1000-5000;1000-5000;337.86
C;kE12E13;200-500;100-200;50-100;47.82
C;kE12E13;200-500;100-200;100-200;101.02
C;kE12E13;200-500;100-200;200-500;70.93
C;kE12E13;200-500;100-200;1000-5000;400.15
C;kE12E13;200-500;200-500;<50;94.78
C;kE12E13;200-500;200-500;50-100;93.07
C;kE12E13;200-500;200-500;100-200;105.67
C;kE12E13;200-500;200-500;200-500;106.21
C;kE12E13;200-500;200-500;500-1000;218.66
C;kE12E13;200-500;200-500;1000-5000;184.22
C;kE12E13;200-500;500-1000;<50;85.46
C;kE12E13;200-500;500-1000;50-100;121.54
C;kE12E13;200-500;500-1000;100-200;100.67
C;kE12E13;200-500;500-1000;200-500;111.43
C;kE12E13;200-500;500-1000;500-1000;145.97
C;kE12E13;200-500;500-1000;1000-5000;224.34
C;kE12E13;200-500;1000-5000;<50;101.49
C;kE12E13;200-500;1000-5000;50-100;135.12
C;kE12E13;200-500;1000-5000;100-200;72.94
C;kE12E13;200-500;1000-5000;200-500;104.03
C;kE12E13;200-500;1000-5000;500-1000;130.81
C;kE12E13;200-500;1000-5000;1000-5000;166.02
C;kE12E13;500-1000;200-500;50-100;123.46
C;kE12E13;500-1000;200-500;200-500;41.75
C;kE12E13;500-1000;200-500;1000-5000;129.77
C;kE12E13;500-1000;500-1000;200-500;40.72
C;kE12E13;500-1000;500-1000;500-1000;33.6
C;kE12E13;500-1000;1000-5000;<50;77.54
C;kE12E13;500-1000;1000-5000;50-100;29.41
C;kE12E13;500-1000;1000-5000;100-200;37.52
C;kE12E13;500-1000;1000-5000;200-500;79.47
C;kE12E13;500-1000;1000-5000;500-1000;71.52
C;kE12E13;500-1000;1000-5000;1000-5000;105.86
C;kE14E15;<50;50-100;<50;146.34
C;kE14E15;<50;50-100;50-100;242.64
C;kE14E15;<50;50-100;100-200;279.24
C;kE14E15;<50;50-100;200-500;461.41
C;kE14E15;<50;100-200;<50;110.98
C;kE14E15;<50;100-200;50-100;131.21
C;kE14E15;<50;100-200;100-200;190.44
C;kE14E15;<50;100-200;200-500;250.52
C;kE14E15;<50;100-200;500-1000;323.6
C;kE14E15;<50;100-200;1000-5000;495.99
C;kE14E15;<50;200-500;<50;134.72
C;kE14E15;<50;200-500;50-100;150.69
C;kE14E15;<50;200-500;100-200;176.78
C;kE14E15;<50;200-500;200-500;263.75
C;kE14E15;<50;200-500;500-1000;345.14
C;kE14E15;<50;500-1000;<50;141.57
C;kE14E15;<50;500-1000;100-200;214.35
C;kE14E15;<50;500-1000;200-500;388.43
C;kE14E15;<50;500-1000;500-1000;535.55
C;kE14E15;50-100;50-100;<50;112.38
C;kE14E15;50-100;50-100;50-100;192.1
C;kE14E15;50-100;50-100;100-200;135.53
C;kE14E15;50-100;50-100;200-500;257.41
C;kE14E15;50-100;100-200;<50;108.18
C;kE14E15;50-100;100-200;50-100;116.56
C;kE14E15;50-100;100-200;100-200;159.27
C;kE14E15;50-100;100-200;200-500;225.62
C;kE14E15;50-100;100-200;500-1000;237.63
C;kE14E15;50-100;200-500;<50;97.32
C;kE14E15;50-100;200-500;50-100;98.9
C;kE14E15;50-100;200-500;100-200;123.88
C;kE14E15;50-100;200-500;200-500;177.89
C;kE14E15;50-100;200-500;500-1000;322.4
C;kE14E15;50-100;200-500;1000-5000;375.64
C;kE14E15;50-100;500-1000;<50;108.48
C;kE14E15;50-100;500-1000;50-100;122.21
C;kE14E15;50-100;500-1000;100-200;146.51
C;kE14E15;50-100;500-1000;200-500;232.48
C;kE14E15;50-100;500-1000;500-1000;320.11
C;kE14E15;50-100;1000-5000;50-100;183.09
C;kE14E15;50-100;1000-5000;100-200;190.64
C;kE14E15;50-100;1000-5000;200-500;251.72
C;kE14E15;50-100;1000-5000;500-1000;390.87
C;kE14E15;100-200;50-100;100-200;183.0
C;kE14E15;100-200;50-100;200-500;352.29
C;kE14E15;100-200;100-200;<50;115.83
C;kE14E15;100-200;100-200;50-100;131.86
C;kE14E15;100-200;100-200;100-200;137.8
C;kE14E15;100-200;100-200;200-500;139.84
C;kE14E15;100-200;200-500;<50;114.01
C;kE14E15;100-200;200-500;50-100;87.62
C;kE14E15;100-200;200-500;100-200;99.34
C;kE14E15;100-200;200-500;200-500;143.49
C;kE14E15;100-200;200-500;500-1000;215.84
C;kE14E15;100-200;200-500;1000-5000;330.94
C;kE14E15;100-200;500-1000;<50;110.09
C;kE14E15;100-200;500-1000;50-100;70.29
C;kE14E15;100-200;500-1000;100-200;101.66
C;kE14E15;100-200;500-1000;200-500;128.08
C;kE14E15;100-200;500-1000;500-1000;162.17
C;kE14E15;100-200;500-1000;1000-5000;271.03
C;kE14E15;100-200;1000-5000;50-100;99.28
C;kE14E15;100-200;1000-5000;100-200;193.71
C;kE14E15;100-200;1000-5000;200-500;180.38
C;kE14E15;100-200;1000-5000;500-1000;235.85
C;kE14E15;100-200;1000-5000;1000-5000;279.28
C;kE14E15;200-500;100-200;200-500;41.12
C;kE14E15;200-500;200-500;<50;45.58
C;kE14E15;200-500;200-500;50-100;83.54
C;kE14E15;200-500;200-500;100-200;85.03
C;kE14E15;200-500;200-500;200-500;91.34
C;kE14E15;200-500;200-500;500-1000;119.45
C;kE14E15;200-500;200-500;1000-5000;128.14
C;kE14E15;200-500;500-1000;<50;84.43
C;kE14E15;200-500;500-1000;50-100;111.13
C;kE14E15;200-500;500-1000;100-200;84.08
C;kE14E15;200-500;500-1000;200-500;96.46
C;kE14E15;200-500;500-1000;500-1000;130.25
C;kE14E15;200-500;500-1000;1000-5000;182.03
C;kE14E15;200-500;1000-5000;<50;33.22
C;kE14E15;200-500;1000-5000;50-100;35.15
C;kE14E15;200-500;1000-5000;100-200;118.3
C;kE14E15;200-500;1000-5000;200-500;93.94
C;kE14E15;200-500;1000-5000;500-1000;104.09
C;kE14E15;200-500;1000-5000;1000-5000;145.88
C;kE14E15;500-1000;200-500;200-500;28.64
C;kE14E15;500-1000;1000-5000;50-100;31.93
C;kE14E15;500-1000;1000-5000;100-200;36.81
C;kE14E15;500-1000;1000-5000;200-500;55.2
C;kE14E15;500-1000;1000-5000;500-1000;91.97
C;kE14E15;500-1000;1000-5000;1000-5000;94.2
C;kE16;<50;50-100;<50;165.54
C;kE16;<50;50-100;50-100;178.27
C;kE16;<50;50-100;100-200;202.42
C;kE16;<50;50-100;200-500;263.94
C;kE16;<50;50-100;500-1000;172.35
C;kE16;<50;100-200;<50;99.16
C;kE16;<50;100-200;50-100;108.5
C;kE16;<50;100-200;100-200;142.51
C;kE16;<50;100-200;200-500;207.92
C;kE16;<50;100-200;500-1000;328.94
C;kE16;<50;200-500;<50;219.54
C;kE16;<50;200-500;50-100;100.25
C;kE16;<50;200-500;100-200;138.39
C;kE16;<50;200-500;200-500;195.42
C;kE16;<50;200-500;500-1000;416.75
C;kE16;<50;500-1000;50-100;134.78
C;kE16;<50;500-1000;100-200;141.02
C;kE16;<50;500-1000;200-500;192.61
C;kE16;<50;1000-5000;100-200;14.73
C;kE16;<50;1000-5000;500-1000;94.76
C;kE16;50-100;50-100;50-100;94.31
C;kE16;50-100;50-100;100-200;122.2
C;kE16;50-100;50-100;200-500;152.89
C;kE16;50-100;100-200;<50;89.34
C;kE16;50-100;100-200;50-100;99.27
C;kE16;50-100;100-200;100-200;124.38
C;kE16;50-100;100-200;200-500;173.37
C;kE16;50-100;100-200;500-1000;210.92
C;kE16;50-100;200-500;<50;88.69
C;kE16;50-100;200-500;50-100;83.7
C;kE16;50-100;200-500;100-200;102.89
C;kE16;50-100;200-500;200-500;140.58
C;kE16;50-100;200-500;500-1000;240.03
C;kE16;50-100;200-500;1000-5000;272.03
C;kE16;50-100;500-1000;<50;156.96
C;kE16;50-100;500-1000;50-100;108.11
C;kE16;50-100;500-1000;100-200;127.9
C;kE16;50-100;500-1000;200-500;117.68
C;kE16;50-100;500-1000;500-1000;221.74
C;kE16;50-100;500-1000;1000-5000;462.59
C;kE16;50-100;1000-5000;50-100;10.84
C;kE16;50-100;1000-5000;100-200;114.61
C;kE16;50-100;1000-5000;200-500;166.78
C;kE16;50-100;1000-5000;500-1000;294.12
C;kE16;100-200;50-100;50-100;342.47
C;kE16;100-200;50-100;200-500;78.84
C;kE16;100-200;50-100;500-1000;105.42
C;kE16;100-200;100-200;50-100;90.19
C;kE16;100-200;100-200;100-200;74.26
C;kE16;100-200;100-200;200-500;57.4
C;kE16;100-200;100-200;500-1000;143.68
C;kE16;100-200;200-500;<50;88.53
C;kE16;100-200;200-500;50-100;80.31
C;kE16;100-200;200-500;100-200;82.5
C;kE16;100-200;200-500;200-500;116.57
C;kE16;100-200;200-500;500-1000;162.67
C;kE16;100-200;200-500;1000-5000;184.09
C;kE16;100-200;500-1000;<50;59.36
C;kE16;100-200;500-1000;50-100;72.47
C;kE16;100-200;500-1000;100-200;86.34
C;kE16;100-200;500-1000;200-500;100.3
C;kE16;100-200;500-1000;500-1000;126.79
C;kE16;100-200;500-1000;1000-5000;126.9
C;kE16;100-200;1000-5000;<50;107.25
C;kE16;100-200;1000-5000;50-100;39.97
