zona_climatica;Superficie Utile Riscaldata;Volume Lordo Riscaldato;EPgl_nren;EPgl_ren;CO2
C;200-500;100-200;137.67;14.42;29.21
C;200-500;200-500;116.39;11.82;24.01
C;200-500;500-1000;127.74;18.95;25.84
C;200-500;1000-5000;134.47;21.03;27.07
C;200-500;5000-10000;0.0;0.0;0.0
C;200-500;>10000;0.0;0.0;0.0
C;500-1000;<50;0.0;0.0;0.0
C;500-1000;50-100;0.0;0.0;0.0
C;500-1000;100-200;0.0;0.0;0.0
C;500-1000;200-500;58.86;2.82;12.03
C;500-1000;500-1000;41.55;7.92;8.69
C;500-1000;1000-5000;90.14;11.92;18.36
C;500-1000;5000-10000;0.0;0.0;0.0
C;500-1000;>10000;0.0;0.0;0.0
C;1000-5000;<50;0.0;0.0;0.0
C;1000-5000;50-100;0.0;0.0;0.0
C;1000-5000;100-200;0.0;0.0;0.0
C;1000-5000;200-500;0.0;0.0;0.0
C;1000-5000;500-1000;0.0;0.0;0.0
C;1000-5000;1000-5000;0.0;0.0;0.0
C;1000-5000;5000-10000;0.0;0.0;0.0
C;1000-5000;>10000;0.0;0.0;0.0
C;>5000;<50;0.0;0.0;0.0
C;>5000;50-100;0.0;0.0;0.0
C;>5000;100-200;0.0;0.0;0.0
C;>5000;200-500;0.0;0.0;0.0
C;>5000;500-1000;0.0;0.0;0.0
C;>5000;1000-5000;0.0;0.0;0.0
C;>5000;5000-10000;0.0;0.0;0.0
C;>5000;>10000;0.0;0.0;0.0
D;<50;<50;0.0;0.0;0.0
D;<50;50-100;241.31;23.61;48.48
D;<50;100-200;187.68;17.74;37.51
D;<50;200-500;223.42;19.11;44.11
D;<50;500-1000;311.48;14.89;62.68
D;<50;1000-5000;263.34;7.15;53.16
D;<50;5000-10000;0.0;0.0;0.0
D;<50;>10000;0.0;0.0;0.0
D;50-100;<50;0.0;0.0;0.0
D;50-100;50-100;177.71;9.19;35.73
D;50-100;100-200;163.54;12.12;33.03
D;50-100;200-500;166.81;12.19;33.13
D;50-100;500-1000;253.96;18.57;50.77
D;50-100;1000-5000;334.83;15.08;67.76
D;50-100;5000-10000;0.0;0.0;0.0
D;50-100;>10000;0.0;0.0;0.0
D;100-200;<50;0.0;0.0;0.0
D;100-200;50-100;183.07;9.04;37.02
D;100-200;100-200;160.51;9.61;32.4
D;100-200;200-500;154.35;12.44;30.77
D;100-200;500-1000;166.15;19.95;33.1
D;100-200;1000-5000;253.37;21.01;51.35
D;100-200;5000-10000;0.0;0.0;0.0
D;100-200;>10000;0.0;0.0;0.0
D;200-500;<50;0.0;0.0;0.0
D;200-500;50-100;112.22;16.33;24.32
D;200-500;100-200;126.07;9.73;25.35
D;200-500;200-500;142.0;13.09;29.03
D;200-500;500-1000;147.05;22.34;29.47
D;200-500;1000-5000;155.44;23.37;31.22
D;200-500;5000-10000;0.0;0.0;0.0
D;200-500;>10000;0.0;0.0;0.0
D;500-1000;<50;0.0;0.0;0.0
D;500-1000;50-100;0.0;0.0;0.0
D;500-1000;100-200;77.11;3.64;15.91
D;500-1000;200-500;112.17;0.78;22.57
D;500-1000;500-1000;114.16;4.26;23.8
D;500-1000;1000-5000;125.89;11.38;25.17
D;500-1000;5000-10000;0.0;0.0;0.0
D;500-1000;>10000;0.0;0.0;0.0
D;1000-5000;<50;0.0;0.0;0.0
D;1000-5000;50-100;0.0;0.0;0.0
D;1000-5000;100-200;0.0;0.0;0.0
D;1000-5000;200-500;0.0;0.0;0.0
D;1000-5000;500-1000;0.0;0.0;0.0
D;1000-5000;1000-5000;0.0;0.0;0.0
D;1000-5000;5000-10000;0.0;0.0;0.0
D;1000-5000;>10000;0.0;0.0;0.0
D;>5000;<50;0.0;0.0;0.0
D;>5000;50-100;0.0;0.0;0.0
