zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;Superficie Disperdente;EPgl_nren;EPgl_ren;CO2
B;kE12E13;200-500;1000-5000;1000-5000;141.48;22.72;28.23
B;kE12E13;500-1000;200-500;200-500;43.57;2.92;8.94
B;kE12E13;500-1000;500-1000;200-500;33.08;0.0;6.61
B;kE12E13;500-1000;1000-5000;<50;69.3;2.92;13.41
B;kE12E13;500-1000;1000-5000;50-100;96.88;19.59;20.98
B;kE12E13;500-1000;1000-5000;100-200;61.95;11.64;13.29
B;kE12E13;500-1000;1000-5000;200-500;43.52;5.21;8.92
B;kE12E13;500-1000;1000-5000;500-1000;71.92;13.32;14.58
B;kE12E13;500-1000;1000-5000;1000-5000;116.46;21.4;22.23
B;kE14E15;<50;50-100;<50;121.26;19.58;24.96
B;kE14E15;<50;50-100;50-100;184.27;15.59;37.86
B;kE14E15;<50;50-100;100-200;259.83;29.39;53.84
B;kE14E15;<50;50-100;200-500;402.23;9.52;81.86
B;kE14E15;<50;100-200;<50;100.74;15.29;22.06
B;kE14E15;<50;100-200;50-100;118.33;16.95;24.76
B;kE14E15;<50;100-200;100-200;170.42;24.24;35.3
B;kE14E15;<50;100-200;200-500;212.7;27.38;43.49
B;kE14E15;<50;100-200;500-1000;386.71;8.11;74.42
B;kE14E15;<50;200-500;50-100;110.0;11.3;23.37
B;kE14E15;<50;200-500;100-200;161.22;21.17;33.4
B;kE14E15;<50;200-500;200-500;245.82;42.21;49.55
B;kE14E15;<50;200-500;1000-5000;492.04;16.06;100.8
B;kE14E15;<50;500-1000;200-500;358.09;3.87;72.19
B;kE14E15;<50;500-1000;500-1000;325.51;0.0;65.1
B;kE14E15;<50;1000-5000;200-500;183.78;48.14;39.37
B;kE14E15;<50;1000-5000;500-1000;410.72;8.67;83.43
B;kE14E15;50-100;50-100;<50;96.98;0.0;18.19
B;kE14E15;50-100;50-100;100-200;81.39;9.43;19.37
B;kE14E15;50-100;50-100;200-500;152.16;44.42;26.24
B;kE14E15;50-100;100-200;<50;105.83;20.09;22.89
B;kE14E15;50-100;100-200;50-100;109.91;15.11;23.27
B;kE14E15;50-100;100-200;100-200;135.01;21.6;28.52
B;kE14E15;50-100;100-200;200-500;174.59;20.5;36.7
B;kE14E15;50-100;100-200;500-1000;295.48;0.15;58.53
B;kE14E15;50-100;100-200;1000-5000;283.48;18.35;57.87
B;kE14E15;50-100;200-500;<50;108.18;18.55;23.48
B;kE14E15;50-100;200-500;50-100;94.08;10.81;19.91
B;kE14E15;50-100;200-500;100-200;110.32;13.79;22.76
B;kE14E15;50-100;200-500;200-500;159.1;20.59;32.34
B;kE14E15;50-100;200-500;500-1000;274.61;22.4;54.7
B;kE14E15;50-100;200-500;1000-5000;442.66;1.81;84.71
B;kE14E15;50-100;500-1000;100-200;134.39;11.86;27.8
B;kE14E15;50-100;500-1000;200-500;190.04;28.66;39.86
B;kE14E15;50-100;500-1000;500-1000;256.84;13.07;51.8
B;kE14E15;50-100;1000-5000;50-100;58.31;0.31;11.39
B;kE14E15;50-100;1000-5000;200-500;162.7;24.26;34.67
B;kE14E15;50-100;1000-5000;500-1000;343.73;6.32;69.52
B;kE14E15;100-200;50-100;200-500;103.98;0.0;20.36
B;kE14E15;100-200;100-200;<50;45.15;8.17;10.25
B;kE14E15;100-200;100-200;50-100;113.21;1.9;22.92
B;kE14E15;100-200;100-200;100-200;91.66;7.58;19.05
B;kE14E15;100-200;100-200;200-500;110.61;7.47;24.99
B;kE14E15;100-200;100-200;500-1000;477.59;53.76;97.29
B;kE14E15;100-200;200-500;<50;102.87;18.66;22.1
B;kE14E15;100-200;200-500;50-100;78.05;9.55;16.15
B;kE14E15;100-200;200-500;100-200;84.84;9.59;17.56
B;kE14E15;100-200;200-500;200-500;125.79;17.13;25.7
B;kE14E15;100-200;200-500;500-1000;175.91;17.52;36.52
B;kE14E15;100-200;200-500;1000-5000;318.45;0.77;63.8
B;kE14E15;100-200;500-1000;<50;95.33;20.4;21.0
B;kE14E15;100-200;500-1000;50-100;74.52;8.26;15.78
B;kE14E15;100-200;500-1000;100-200;87.27;9.28;17.94
B;kE14E15;100-200;500-1000;200-500;109.68;22.1;22.55
B;kE14E15;100-200;500-1000;500-1000;147.73;24.84;29.87
B;kE14E15;100-200;500-1000;1000-5000;272.27;35.83;55.85
B;kE14E15;100-200;1000-5000;200-500;121.14;9.77;25.18
B;kE14E15;100-200;1000-5000;500-1000;191.83;16.31;39.65
B;kE14E15;100-200;1000-5000;1000-5000;198.88;4.79;40.49
B;kE14E15;200-500;100-200;500-1000;98.41;9.3;21.07
B;kE14E15;200-500;200-500;<50;36.49;7.16;8.37
B;kE14E15;200-500;200-500;100-200;57.27;7.26;12.98
B;kE14E15;200-500;200-500;200-500;108.12;19.44;24.33
B;kE14E15;200-500;200-500;500-1000;55.56;0.13;11.29
B;kE14E15;200-500;500-1000;<50;72.59;11.24;14.96
B;kE14E15;200-500;500-1000;50-100;85.35;11.88;18.72
B;kE14E15;200-500;500-1000;100-200;78.35;11.61;16.22
B;kE14E15;200-500;500-1000;200-500;79.01;13.21;16.1
B;kE14E15;200-500;500-1000;500-1000;115.88;24.47;23.58
B;kE14E15;200-500;500-1000;1000-5000;139.53;14.53;28.82
B;kE14E15;200-500;1000-5000;100-200;35.42;2.83;8.18
B;kE14E15;200-500;1000-5000;200-500;71.29;18.61;15.19
B;kE14E15;200-500;1000-5000;500-1000;93.46;19.04;19.11
B;kE14E15;200-500;1000-5000;1000-5000;135.88;37.23;26.55
B;kE14E15;500-1000;1000-5000;100-200;22.78;16.52;5.18
B;kE14E15;500-1000;1000-5000;200-500;29.38;1.59;6.11
B;kE14E15;500-1000;1000-5000;500-1000;115.54;18.85;19.81
B;kE14E15;500-1000;1000-5000;1000-5000;62.04;11.8;13.41
B;kE16;<50;50-100;<50;127.54;22.81;28.83
B;kE16;<50;50-100;50-100;152.8;14.65;32.5
B;kE16;<50;50-100;100-200;196.15;26.95;41.31
B;kE16;<50;50-100;200-500;232.41;7.51;47.34
B;kE16;<50;100-200;<50;104.08;18.66;22.48
B;kE16;<50;100-200;50-100;108.58;20.07;22.99
B;kE16;<50;100-200;100-200;152.07;26.63;32.04
B;kE16;<50;100-200;200-500;196.75;32.86;40.77
B;kE16;<50;100-200;500-1000;414.18;12.98;84.77
B;kE16;<50;200-500;<50;65.28;10.53;14.63
B;kE16;<50;200-500;50-100;154.18;27.21;28.34
B;kE16;<50;200-500;100-200;136.93;23.64;28.41
B;kE16;<50;200-500;200-500;182.69;25.04;37.65
B;kE16;<50;200-500;500-1000;461.24;11.36;93.94
B;kE16;<50;500-1000;200-500;116.23;126.59;26.37
B;kE16;<50;500-1000;500-1000;233.0;8.71;47.89
B;kE16;50-100;50-100;200-500;160.03;0.35;34.2
B;kE16;50-100;100-200;<50;107.75;19.54;21.85
B;kE16;50-100;100-200;50-100;98.32;9.67;20.64
B;kE16;50-100;100-200;100-200;144.68;23.53;28.21
B;kE16;50-100;100-200;200-500;166.66;17.44;34.75
B;kE16;50-100;200-500;<50;78.15;12.71;16.71
B;kE16;50-100;200-500;50-100;81.7;9.63;17.23
B;kE16;50-100;200-500;100-200;100.07;13.97;20.9
B;kE16;50-100;200-500;200-500;140.48;22.13;28.77
B;kE16;50-100;200-500;500-1000;210.42;17.62;43.47
B;kE16;50-100;200-500;1000-5000;329.51;12.98;67.83
B;kE16;50-100;500-1000;50-100;49.45;0.02;11.3
B;kE16;50-100;500-1000;100-200;91.91;0.77;18.5
B;kE16;50-100;500-1000;200-500;162.54;27.37;34.55
B;kE16;50-100;500-1000;500-1000;246.56;44.64;53.48
B;kE16;50-100;1000-5000;100-200;261.47;63.02;61.68
B;kE16;50-100;1000-5000;200-500;188.82;16.38;40.2
B;kE16;50-100;1000-5000;500-1000;233.88;11.69;48.52
B;kE16;100-200;50-100;100-200;71.99;0.65;13.59
B;kE16;100-200;50-100;200-500;114.55;8.96;22.77
B;kE16;100-200;100-200;<50;33.48;2.5;14.61
B;kE16;100-200;100-200;50-100;70.52;2.53;17.92
B;kE16;100-200;100-200;100-200;121.66;17.52;25.71
B;kE16;100-200;100-200;200-500;45.07;0.09;9.03
B;kE16;100-200;100-200;500-1000;140.88;23.7;29.97
B;kE16;100-200;200-500;<50;75.6;12.82;16.03
B;kE16;100-200;200-500;50-100;69.91;5.89;14.3
B;kE16;100-200;200-500;100-200;75.29;8.44;16.02
B;kE16;100-200;200-500;200-500;112.58;19.28;23.18
B;kE16;100-200;200-500;500-1000;157.47;21.91;32.52
B;kE16;100-200;200-500;1000-5000;200.47;66.16;40.79
B;kE16;100-200;500-1000;<50;66.28;8.56;13.75
B;kE16;100-200;500-1000;50-100;56.71;13.42;12.13
B;kE16;100-200;500-1000;100-200;70.63;11.7;15.33
B;kE16;100-200;500-1000;200-500;93.26;20.14;19.29
B;kE16;100-200;500-1000;500-1000;130.26;21.98;26.55
B;kE16;100-200;500-1000;1000-5000;272.95;12.15;57.77
B;kE16;100-200;1000-5000;200-500;125.56;16.75;26.1
B;kE16;100-200;1000-5000;500-1000;151.35;21.81;31.59
B;kE16;100-200;1000-5000;1000-5000;255.86;8.13;52.38
B;kE16;200-500;100-200;200-500;101.72;0.43;25.07
B;kE16;200-500;200-500;100-200;58.84;9.66;11.8
B;kE16;200-500;200-500;200-500;51.79;0.39;10.42
B;kE16;200-500;500-1000;<50;44.63;14.07;10.0
B;kE16;200-500;500-1000;100-200;55.43;3.55;11.41
B;kE16;200-500;500-1000;200-500;76.94;18.33;15.3
B;kE16;200-500;500-1000;500-1000;103.17;30.23;21.1
B;kE16;200-500;500-1000;1000-5000;119.13;9.58;24.48
B;kE16;200-500;1000-5000;<50;45.22;5.53;9.96
B;kE16;200-500;1000-5000;200-500;94.47;13.64;18.54
B;kE16;200-500;1000-5000;500-1000;83.17;15.26;16.89
B;kE16;200-500;1000-5000;1000-5000;98.53;18.68;19.99
B;kE16;500-1000;200-500;200-500;41.19;1.38;8.44
B;kE16;500-1000;500-1000;500-1000;132.68;1.03;26.69
B;kE16;500-1000;1000-5000;200-500;38.96;1.43;8.0
B;kE16;500-1000;1000-5000;500-1000;65.27;17.87;14.02
B;kE16;500-1000;1000-5000;1000-5000;96.63;23.65;15.74
B;k2015;<50;50-100;<50;153.29;6.74;31.66
B;k2015;<50;50-100;50-100;96.53;33.04;20.87
B;k2015;<50;50-100;100-200;150.01;58.34;31.83
B;k2015;<50;100-200;<50;93.01;27.27;20.31
B;k2015;<50;100-200;50-100;67.9;34.77;14.98
B;k2015;<50;100-200;100-200;96.82;34.67;20.38
B;k2015;<50;100-200;200-500;161.14;47.34;32.7
B;k2015;<50;100-200;500-1000;376.79;13.35;72.58
B;k2015;<50;100-200;1000-5000;163.63;142.1;33.59
B;k2015;<50;200-500;<50;65.63;10.08;13.76
B;k2015;<50;200-500;50-100;105.49;7.63;20.64
B;k2015;<50;200-500;100-200;80.7;15.55;15.97
B;k2015;<50;200-500;200-500;59.75;63.22;12.55
B;k2015;<50;200-500;500-1000;165.41;128.75;39.02
B;k2015;<50;200-500;1000-5000;254.35;0.0;47.7
B;k2015;<50;500-1000;50-100;47.93;0.0;9.59
B;k2015;50-100;50-100;100-200;127.42;35.24;30.06
B;k2015;50-100;50-100;200-500;143.74;0.0;28.75
B;k2015;50-100;100-200;<50;133.74;38.09;28.12
B;k2015;50-100;100-200;50-100;65.37;20.91;13.99
B;k2015;50-100;100-200;100-200;82.54;27.81;18.04
B;k2015;50-100;100-200;200-500;112.45;53.66;24.9
B;k2015;50-100;100-200;500-1000;116.98;98.45;27.59
B;k2015;50-100;200-500;<50;72.55;41.46;15.38
B;k2015;50-100;200-500;50-100;66.47;14.65;14.06
B;k2015;50-100;200-500;100-200;70.3;18.53;14.72
B;k2015;50-100;200-500;200-500;90.38;28.45;18.64
B;k2015;50-100;200-500;500-1000;218.15;35.33;44.66
B;k2015;50-100;500-1000;100-200;228.14;40.32;48.57
B;k2015;50-100;500-1000;200-500;85.32;41.51;18.14
B;k2015;50-100;500-1000;500-1000;150.44;40.71;31.25
B;k2015;50-100;500-1000;1000-5000;163.62;0.0;30.68
B;k2015;50-100;1000-5000;200-500;192.31;6.3;39.4
B;k2015;50-100;1000-5000;500-1000;43.01;28.2;9.86
B;k2015;100-200;100-200;50-100;67.95;0.28;12.78
B;k2015;100-200;100-200;100-200;71.87;8.44;15.63
B;k2015;100-200;100-200;200-500;98.07;0.19;19.64
B;k2015;100-200;200-500;<50;57.87;10.1;12.28
B;k2015;100-200;200-500;50-100;81.35;13.98;17.15
B;k2015;100-200;200-500;100-200;58.86;12.11;12.1
B;k2015;100-200;200-500;200-500;75.02;22.14;15.52
B;k2015;100-200;200-500;500-1000;114.57;38.03;24.15
B;k2015;100-200;200-500;1000-5000;164.74;78.7;34.53
B;k2015;100-200;500-1000;<50;49.59;8.04;10.64
B;k2015;100-200;500-1000;50-100;55.28;4.54;11.53
B;k2015;100-200;500-1000;100-200;76.72;13.84;16.41
B;k2015;100-200;500-1000;200-500;66.18;25.98;13.74
B;k2015;100-200;500-1000;500-1000;74.25;37.51;15.48
B;k2015;100-200;500-1000;1000-5000;193.33;59.37;39.28
B;k2015;100-200;1000-5000;200-500;63.4;20.93;13.07
B;k2015;100-200;1000-5000;500-1000;80.04;52.04;17.35
B;k2015;200-500;100-200;200-500;58.24;4.14;11.95
B;k2015;200-500;200-500;200-500;54.14;15.51;17.84
B;k2015;200-500;500-1000;<50;29.97;6.57;6.58
B;k2015;200-500;500-1000;50-100;31.49;32.64;7.52
B;k2015;200-500;500-1000;100-200;53.58;8.77;11.38
B;k2015;200-500;500-1000;200-500;70.26;14.07;14.65
B;k2015;200-500;500-1000;500-1000;63.57;36.86;13.42
B;k2015;200-500;500-1000;1000-5000;159.54;33.26;33.55
B;k2015;200-500;1000-5000;50-100;54.14;8.21;11.33
B;k2015;200-500;1000-5000;100-200;34.91;14.68;7.38
B;k2015;200-500;1000-5000;200-500;50.49;11.14;10.37
B;k2015;200-500;1000-5000;500-1000;58.63;28.52;12.43
B;k2015;200-500;1000-5000;1000-5000;78.86;23.63;15.56
B;k2015;500-1000;1000-5000;200-500;33.03;1.19;6.31
B;k2015;500-1000;1000-5000;500-1000;66.68;1.87;14.58
B;k2015;500-1000;1000-5000;1000-5000;47.87;13.75;9.98
C;kE8E9;<50;50-100;<50;180.96;17.34;36.44
C;kE8E9;<50;50-100;50-100;238.16;15.72;47.46
C;kE8E9;<50;50-100;100-200;325.07;15.89;64.28
C;kE8E9;<50;50-100;200-500;311.58;12.65;62.53
C;kE8E9;<50;50-100;500-1000;149.17;10.66;29.51
C;kE8E9;<50;100-200;<50;140.62;16.73;28.84
C;kE8E9;<50;100-200;50-100;166.98;18.93;33.8
C;kE8E9;<50;100-200;100-200;248.37;21.07;49.63
C;kE8E9;<50;100-200;200-500;303.45;18.62;60.43
C;kE8E9;<50;100-200;500-1000;371.63;2.69;73.93
C;kE8E9;<50;100-200;1000-5000;429.55;16.68;104.35
C;kE8E9;<50;200-500;<50;138.07;14.45;28.11
C;kE8E9;<50;200-500;50-100;140.38;16.02;28.45
C;kE8E9;<50;200-500;100-200;207.04;19.6;41.48
C;kE8E9;<50;200-500;200-500;290.83;18.03;57.75
C;kE8E9;<50;200-500;500-1000;348.17;7.38;68.81
C;kE8E9;<50;500-1000;<50;141.55;0.0;28.31
C;kE8E9;<50;500-1000;50-100;127.27;0.0;15.39
C;kE8E9;<50;500-1000;100-200;227.26;14.64;46.46
C;kE8E9;<50;500-1000;200-500;390.15;21.11;79.02
C;kE8E9;<50;500-1000;500-1000;434.02;5.65;84.91
C;kE8E9;<50;500-1000;1000-5000;285.36;0.0;53.51
C;kE8E9;<50;1000-5000;<50;287.21;2.41;57.8
C;kE8E9;<50;1000-5000;50-100;143.93;10.09;30.29
C;kE8E9;<50;1000-5000;100-200;400.8;22.32;83.48
C;kE8E9;<50;1000-5000;500-1000;567.93;0.0;111.82
C;kE8E9;<50;1000-5000;1000-5000;201.42;0.0;40.29
C;kE8E9;50-100;50-100;<50;115.39;0.0;22.36
C;kE8E9;50-100;50-100;50-100;186.23;11.34;38.12
C;kE8E9;50-100;50-100;100-200;181.64;24.1;41.62
C;kE8E9;50-100;50-100;200-500;227.07;9.37;45.84
C;kE8E9;50-100;50-100;500-1000;399.53;0.0;79.91
C;kE8E9;50-100;50-100;1000-5000;117.84;10.12;23.55
C;kE8E9;50-100;100-200;<50;139.96;16.27;28.54
C;kE8E9;50-100;100-200;50-100;155.73;13.18;31.17
C;kE8E9;50-100;100-200;100-200;185.5;19.46;37.3
C;kE8E9;50-100;100-200;200-500;242.52;19.72;49.27
C;kE8E9;50-100;100-200;500-1000;295.53;0.65;57.54
C;kE8E9;50-100;200-500;<50;112.44;10.17;22.84
C;kE8E9;50-100;200-500;50-100;126.37;11.42;25.55
C;kE8E9;50-100;200-500;100-200;161.15;15.84;32.42
C;kE8E9;50-100;200-500;200-500;233.44;18.59;46.71
C;kE8E9;50-100;200-500;500-1000;330.49;15.11;65.95
C;kE8E9;50-100;200-500;1000-5000;289.39;14.67;47.4
C;kE8E9;50-100;500-1000;<50;144.48;25.87;30.81
C;kE8E9;50-100;500-1000;50-100;166.16;7.57;33.53
C;kE8E9;50-100;500-1000;100-200;142.02;12.49;28.78
C;kE8E9;50-100;500-1000;200-500;228.37;16.58;45.65
C;kE8E9;50-100;500-1000;500-1000;289.26;22.44;57.85
C;kE8E9;50-100;500-1000;1000-5000;398.58;25.28;83.82
C;kE8E9;50-100;1000-5000;50-100;318.16;1.34;61.82
C;kE8E9;50-100;1000-5000;100-200;295.09;69.84;62.55
C;kE8E9;50-100;1000-5000;200-500;303.49;23.31;61.9
C;kE8E9;50-100;1000-5000;500-1000;419.72;4.21;84.83
C;kE8E9;50-100;1000-5000;1000-5000;44.27;0.0;8.3
C;kE8E9;100-200;50-100;50-100;160.75;0.0;30.14
C;kE8E9;100-200;50-100;100-200;210.68;0.0;39.51
C;kE8E9;100-200;50-100;200-500;158.19;3.95;31.08
C;kE8E9;100-200;50-100;500-1000;146.23;0.73;27.53
C;kE8E9;100-200;50-100;1000-5000;95.9;0.0;17.99
C;kE8E9;100-200;100-200;<50;170.37;100.0;31.95
C;kE8E9;100-200;100-200;50-100;144.61;30.51;29.54
C;kE8E9;100-200;100-200;100-200;129.42;3.99;27.25
C;kE8E9;100-200;100-200;200-500;174.86;10.71;35.49
C;kE8E9;100-200;100-200;500-1000;194.47;3.81;39.46
C;kE8E9;100-200;200-500;<50;106.23;11.42;21.55
C;kE8E9;100-200;200-500;50-100;98.03;6.48;19.67
C;kE8E9;100-200;200-500;100-200;123.01;10.98;24.8
C;kE8E9;100-200;200-500;200-500;181.43;16.99;36.39
C;kE8E9;100-200;200-500;500-1000;278.55;18.57;56.29
C;kE8E9;100-200;200-500;1000-5000;400.95;2.93;79.91
C;kE8E9;100-200;500-1000;<50;122.57;6.43;24.44
C;kE8E9;100-200;500-1000;50-100;101.3;8.08;20.57
C;kE8E9;100-200;500-1000;100-200;114.85;9.45;23.12
C;kE8E9;100-200;500-1000;200-500;172.08;16.34;34.47
C;kE8E9;100-200;500-1000;500-1000;224.03;23.63;44.89
C;kE8E9;100-200;500-1000;1000-5000;332.52;23.37;67.46
C;kE8E9;100-200;1000-5000;<50;160.33;0.0;30.06
C;kE8E9;100-200;1000-5000;50-100;74.97;0.52;21.95
C;kE8E9;100-200;1000-5000;100-200;142.42;9.82;30.24
C;kE8E9;100-200;1000-5000;200-500;165.94;14.41;33.99
C;kE8E9;100-200;1000-5000;500-1000;209.26;30.72;42.7
C;kE8E9;100-200;1000-5000;1000-5000;300.7;17.83;59.84
C;kE8E9;200-500;50-100;100-200;414.12;93.93;89.58
C;kE8E9;200-500;100-200;50-100;120.83;1.22;23.75
C;kE8E9;200-500;100-200;500-1000;191.0;0.19;39.41
C;kE8E9;200-500;200-500;50-100;84.25;4.53;16.93
C;kE8E9;200-500;200-500;100-200;35.33;0.24;7.1
C;kE8E9;200-500;200-500;200-500;88.43;19.75;17.97
C;kE8E9;200-500;200-500;500-1000;229.57;4.04;46.3
C;kE8E9;200-500;500-1000;<50;94.49;13.05;19.6
C;kE8E9;200-500;500-1000;50-100;92.39;6.56;18.55
C;kE8E9;200-500;500-1000;100-200;88.7;6.27;18.04
C;kE8E9;200-500;500-1000;200-500;120.63;12.49;24.31
C;kE8E9;200-500;500-1000;500-1000;178.99;20.14;36.24
C;kE8E9;200-500;500-1000;1000-5000;266.48;10.89;53.81
C;kE8E9;200-500;1000-5000;<50;100.78;2.9;19.54
C;kE8E9;200-500;1000-5000;50-100;82.48;15.86;18.46
C;kE8E9;200-500;1000-5000;100-200;81.15;4.72;16.33
C;kE8E9;200-500;1000-5000;200-500;121.26;12.67;24.45
C;kE8E9;200-500;1000-5000;500-1000;164.18;21.03;33.0
C;kE8E9;200-500;1000-5000;1000-5000;193.9;21.93;38.94
C;kE8E9;500-1000;200-500;100-200;35.44;3.54;7.61
C;kE8E9;500-1000;200-500;500-1000;32.69;3.15;7.01
C;kE8E9;500-1000;500-1000;200-500;39.55;35.28;9.33
C;kE8E9;500-1000;1000-5000;50-100;38.82;0.08;7.53
C;kE8E9;500-1000;1000-5000;200-500;40.8;0.0;8.16
C;kE8E9;500-1000;1000-5000;500-1000;105.86;7.81;20.88
C;kE8E9;500-1000;1000-5000;1000-5000;144.32;5.26;28.69
C;kE10E11;<50;50-100;<50;155.96;18.53;32.04
C;kE10E11;<50;50-100;50-100;222.36;22.36;44.73
C;kE10E11;<50;50-100;100-200;305.51;15.49;60.07
C;kE10E11;<50;50-100;200-500;312.02;22.92;63.71
C;kE10E11;<50;100-200;<50;133.15;15.92;27.48
C;kE10E11;<50;100-200;50-100;149.34;16.44;30.53
C;kE10E11;<50;100-200;100-200;215.92;20.23;43.43
C;kE10E11;<50;100-200;200-500;285.59;19.1;56.92
C;kE10E11;<50;100-200;500-1000;387.15;3.35;78.2
C;kE10E11;<50;200-500;<50;144.73;16.37;30.47
C;kE10E11;<50;200-500;50-100;146.69;14.8;29.85
C;kE10E11;<50;200-500;100-200;197.37;19.29;39.61
C;kE10E11;<50;200-500;200-500;284.43;21.16;56.55
C;kE10E11;<50;200-500;500-1000;379.68;5.26;77.93
C;kE10E11;<50;500-1000;<50;146.83;10.17;30.88
C;kE10E11;<50;500-1000;50-100;152.61;0.1;30.54
C;kE10E11;<50;500-1000;100-200;239.74;6.56;48.93
C;kE10E11;<50;500-1000;200-500;399.2;12.89;81.62
C;kE10E11;<50;500-1000;500-1000;262.69;54.86;57.31
C;kE10E11;<50;1000-5000;50-100;99.99;107.35;27.17
C;kE10E11;<50;1000-5000;100-200;131.04;1.45;26.42
C;kE10E11;<50;1000-5000;200-500;145.42;9.39;33.6
C;kE10E11;<50;1000-5000;500-1000;374.92;9.8;76.44
C;kE10E11;<50;1000-5000;1000-5000;99.1;219.51;23.47
C;kE10E11;50-100;50-100;<50;149.1;4.25;29.18
C;kE10E11;50-100;50-100;50-100;163.31;8.49;32.02
C;kE10E11;50-100;50-100;100-200;165.23;12.8;35.24
C;kE10E11;50-100;50-100;200-500;210.15;14.1;41.61
C;kE10E11;50-100;50-100;500-1000;285.51;0.8;55.62
C;kE10E11;50-100;50-100;1000-5000;132.99;0.0;24.94
C;kE10E11;50-100;100-200;<50;120.69;13.4;24.79
C;kE10E11;50-100;100-200;50-100;135.68;11.77;27.69
C;kE10E11;50-100;100-200;100-200;174.05;15.56;35.14
C;kE10E11;50-100;100-200;200-500;233.48;19.5;47.12
C;kE10E11;50-100;100-200;500-1000;419.16;25.42;86.66
C;kE10E11;50-100;100-200;1000-5000;111.57;0.0;20.93
C;kE10E11;50-100;200-500;<50;111.01;10.25;22.78
C;kE10E11;50-100;200-500;50-100;113.23;8.64;23.04
C;kE10E11;50-100;200-500;100-200;146.74;11.29;29.5
C;kE10E11;50-100;200-500;200-500;212.02;16.14;42.32
C;kE10E11;50-100;200-500;500-1000;326.8;14.95;65.67
C;kE10E11;50-100;200-500;1000-5000;334.08;9.62;65.35
C;kE10E11;50-100;500-1000;<50;76.72;8.02;16.28
C;kE10E11;50-100;500-1000;50-100;177.31;11.18;35.86
C;kE10E11;50-100;500-1000;100-200;167.38;9.21;33.76
C;kE10E11;50-100;500-1000;200-500;243.06;19.39;49.06
C;kE10E11;50-100;500-1000;500-1000;323.23;17.34;65.08
C;kE10E11;50-100;500-1000;1000-5000;384.21;2.24;76.06
C;kE10E11;50-100;1000-5000;<50;101.35;21.65;23.49
C;kE10E11;50-100;1000-5000;50-100;261.78;15.25;53.35
C;kE10E11;50-100;1000-5000;100-200;171.85;12.01;33.73
C;kE10E11;50-100;1000-5000;200-500;283.17;18.34;57.8
C;kE10E11;50-100;1000-5000;500-1000;395.6;11.33;80.15
C;kE10E11;50-100;1000-5000;1000-5000;341.6;0.0;68.32
C;kE10E11;100-200;50-100;<50;112.46;2.73;17.33
C;kE10E11;100-200;50-100;50-100;235.07;10.66;45.43
C;kE10E11;100-200;50-100;100-200;100.8;4.01;19.94
C;kE10E11;100-200;50-100;200-500;208.79;23.84;44.31
C;kE10E11;100-200;50-100;1000-5000;71.99;0.0;13.5
C;kE10E11;100-200;100-200;<50;156.73;3.67;29.37
C;kE10E11;100-200;100-200;50-100;124.97;8.35;25.79
C;kE10E11;100-200;100-200;100-200;153.03;7.05;31.13
C;kE10E11;100-200;100-200;200-500;171.51;8.32;34.86
C;kE10E11;100-200;100-200;500-1000;169.74;13.52;34.53
C;kE10E11;100-200;200-500;<50;106.96;10.86;21.79
C;kE10E11;100-200;200-500;50-100;93.29;5.79;18.9
C;kE10E11;100-200;200-500;100-200;109.69;6.82;21.97
C;kE10E11;100-200;200-500;200-500;174.17;13.59;34.9
C;kE10E11;100-200;200-500;500-1000;257.62;17.84;51.89
C;kE10E11;100-200;200-500;1000-5000;375.93;17.75;74.86
C;kE10E11;100-200;500-1000;<50;113.05;9.76;22.92
C;kE10E11;100-200;500-1000;50-100;94.04;4.75;18.96
C;kE10E11;100-200;500-1000;100-200;101.29;6.52;20.44
C;kE10E11;100-200;500-1000;200-500;161.6;14.7;32.34
C;kE10E11;100-200;500-1000;500-1000;208.47;20.19;41.64
C;kE10E11;100-200;500-1000;1000-5000;324.73;12.97;65.37
C;kE10E11;100-200;1000-5000;<50;60.39;2.66;12.47
C;kE10E11;100-200;1000-5000;50-100;143.06;1.59;28.5
C;kE10E11;100-200;1000-5000;100-200;165.69;5.33;34.13
C;kE10E11;100-200;1000-5000;200-500;186.0;17.33;38.52
C;kE10E11;100-200;1000-5000;500-1000;243.95;34.08;50.14
C;kE10E11;100-200;1000-5000;1000-5000;331.43;5.75;67.21
C;kE10E11;200-500;50-100;100-200;60.18;2.91;12.47
C;kE10E11;200-500;50-100;200-500;91.1;1.12;50.06
C;kE10E11;200-500;50-100;500-1000;425.95;0.0;25.74
C;kE10E11;200-500;100-200;200-500;94.61;53.88;19.95
C;kE10E11;200-500;100-200;500-1000;201.62;0.0;40.32
C;kE10E11;200-500;200-500;<50;38.27;3.43;7.93
C;kE10E11;200-500;200-500;50-100;81.12;2.33;15.87
C;kE10E11;200-500;200-500;100-200;101.46;6.46;20.9
C;kE10E11;200-500;200-500;200-500;112.17;13.94;22.63
C;kE10E11;200-500;200-500;500-1000;162.23;2.28;32.51
C;kE10E11;200-500;200-500;1000-5000;94.71;0.0;18.68
C;kE10E11;200-500;500-1000;<50;103.07;8.29;20.89
C;kE10E11;200-500;500-1000;50-100;84.65;16.72;17.9
C;kE10E11;200-500;500-1000;100-200;83.5;4.9;16.94
C;kE10E11;200-500;500-1000;200-500;118.55;11.07;24.0
