zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;Superficie Disperdente;EPgl_nren;EPgl_ren;CO2
A;kE14E15;50-100;100-200;100-200;140.44;34.13;30.39
A;kE14E15;50-100;200-500;50-100;65.92;6.14;14.1
A;kE14E15;50-100;200-500;100-200;81.18;10.63;16.97
A;kE14E15;50-100;200-500;200-500;118.78;20.02;24.98
A;kE14E15;50-100;1000-5000;200-500;191.12;0.0;38.22
A;kE14E15;100-200;200-500;50-100;65.66;9.15;14.5
A;kE14E15;100-200;200-500;100-200;59.35;9.74;12.71
A;kE14E15;100-200;200-500;200-500;113.62;25.92;24.05
A;kE14E15;100-200;500-1000;100-200;80.94;5.92;17.07
A;kE14E15;100-200;500-1000;200-500;112.37;22.82;23.75
A;kE14E15;100-200;500-1000;500-1000;119.23;32.19;25.16
A;kE14E15;100-200;500-1000;1000-5000;258.75;9.63;53.19
A;kE14E15;200-500;500-1000;200-500;159.8;5.52;32.78
A;kE14E15;200-500;500-1000;500-1000;190.94;9.53;39.61
A;kE14E15;200-500;1000-5000;500-1000;72.86;6.14;14.94
A;kE16;<50;100-200;50-100;124.66;128.71;27.52
A;kE16;<50;100-200;100-200;109.82;59.23;24.01
A;kE16;<50;100-200;200-500;33.23;95.74;7.84
A;kE16;<50;200-500;200-500;123.02;8.06;25.8
A;kE16;50-100;100-200;50-100;63.13;1.35;12.83
A;kE16;50-100;100-200;100-200;69.54;2.4;14.27
A;kE16;50-100;100-200;200-500;33.43;95.14;7.89
A;kE16;50-100;200-500;50-100;59.12;1.14;11.99
A;kE16;50-100;200-500;100-200;79.71;6.18;17.16
A;kE16;50-100;200-500;200-500;78.9;41.96;16.99
A;kE16;50-100;200-500;500-1000;187.22;9.62;36.49
A;kE16;50-100;500-1000;500-1000;115.44;63.84;25.4
A;kE16;100-200;200-500;50-100;107.78;8.09;23.65
A;kE16;100-200;200-500;100-200;52.5;6.35;11.25
A;kE16;100-200;200-500;200-500;64.94;11.74;13.6
A;kE16;100-200;200-500;1000-5000;131.04;6.49;27.17
A;kE16;100-200;500-1000;200-500;102.8;7.73;21.49
A;kE16;100-200;500-1000;500-1000;100.05;4.02;20.05
A;kE16;100-200;500-1000;1000-5000;148.67;172.75;33.03
A;kE16;200-500;200-500;100-200;37.88;5.43;8.38
A;kE16;200-500;500-1000;200-500;24.21;40.76;5.71
A;k2015;<50;100-200;50-100;146.28;0.0;29.26
A;k2015;<50;100-200;100-200;136.52;50.99;30.2
A;k2015;<50;100-200;200-500;45.39;115.14;10.71
A;k2015;50-100;100-200;100-200;125.43;46.41;29.59
A;k2015;50-100;200-500;50-100;177.8;26.43;39.5
A;k2015;50-100;200-500;100-200;109.07;33.83;25.28
A;k2015;50-100;200-500;200-500;57.5;65.08;13.08
A;k2015;100-200;200-500;100-200;87.28;14.9;22.75
A;k2015;100-200;200-500;200-500;59.0;35.6;12.78
A;k2015;100-200;500-1000;200-500;78.32;6.84;16.18
A;k2015;100-200;500-1000;500-1000;72.79;62.87;16.24
A;k2015;200-500;500-1000;500-1000;38.77;12.18;8.94
A;k2015;200-500;1000-5000;1000-5000;38.77;62.96;8.16
B;kE8E9;<50;50-100;<50;165.51;22.74;34.38
B;kE8E9;<50;50-100;50-100;201.87;22.35;42.15
B;kE8E9;<50;50-100;100-200;269.2;14.24;54.61
B;kE8E9;<50;50-100;200-500;328.96;16.81;67.36
B;kE8E9;<50;100-200;<50;135.54;20.71;28.57
B;kE8E9;<50;100-200;50-100;148.14;18.27;30.64
B;kE8E9;<50;100-200;100-200;210.23;19.16;42.76
B;kE8E9;<50;100-200;200-500;257.47;17.47;52.03
B;kE8E9;<50;100-200;500-1000;355.03;33.18;73.95
B;kE8E9;<50;200-500;<50;121.35;16.65;25.11
B;kE8E9;<50;200-500;50-100;129.35;16.84;27.1
B;kE8E9;<50;200-500;100-200;172.57;21.86;35.2
B;kE8E9;<50;200-500;200-500;247.78;22.04;50.15
B;kE8E9;<50;200-500;500-1000;469.28;14.8;94.27
B;kE8E9;<50;500-1000;100-200;205.91;6.44;42.14
B;kE8E9;<50;500-1000;200-500;339.21;43.98;70.1
B;kE8E9;<50;500-1000;500-1000;383.38;92.4;65.84
B;kE8E9;<50;1000-5000;500-1000;383.01;8.67;77.89
B;kE8E9;50-100;50-100;<50;118.3;0.0;22.18
B;kE8E9;50-100;50-100;50-100;132.09;17.54;29.03
B;kE8E9;50-100;50-100;100-200;174.6;9.36;35.97
B;kE8E9;50-100;50-100;200-500;158.82;10.17;33.0
B;kE8E9;50-100;100-200;<50;136.02;28.44;29.77
B;kE8E9;50-100;100-200;50-100;135.32;20.79;29.35
B;kE8E9;50-100;100-200;100-200;154.77;16.82;32.13
B;kE8E9;50-100;100-200;200-500;200.42;13.91;41.39
B;kE8E9;50-100;100-200;500-1000;273.52;12.39;54.19
B;kE8E9;50-100;100-200;1000-5000;477.25;0.01;95.45
B;kE8E9;50-100;200-500;<50;114.5;22.03;24.64
B;kE8E9;50-100;200-500;50-100;114.61;16.69;24.33
B;kE8E9;50-100;200-500;100-200;130.84;14.74;27.09
B;kE8E9;50-100;200-500;200-500;195.96;18.61;39.82
B;kE8E9;50-100;200-500;500-1000;290.65;15.89;58.67
B;kE8E9;50-100;200-500;1000-5000;401.26;77.99;81.72
B;kE8E9;50-100;500-1000;<50;107.79;19.46;24.46
B;kE8E9;50-100;500-1000;50-100;104.3;6.87;21.72
B;kE8E9;50-100;500-1000;100-200;129.2;8.21;26.69
B;kE8E9;50-100;500-1000;200-500;193.29;23.13;39.41
B;kE8E9;50-100;500-1000;500-1000;269.56;19.97;54.23
B;kE8E9;50-100;1000-5000;50-100;77.36;25.08;17.35
B;kE8E9;50-100;1000-5000;100-200;167.46;9.39;33.59
B;kE8E9;50-100;1000-5000;200-500;333.58;23.98;68.99
B;kE8E9;50-100;1000-5000;500-1000;374.12;19.71;76.67
B;kE8E9;50-100;1000-5000;1000-5000;485.82;0.0;97.16
B;kE8E9;100-200;50-100;50-100;114.64;27.63;27.04
B;kE8E9;100-200;50-100;1000-5000;48.98;0.0;9.18
B;kE8E9;100-200;100-200;<50;78.48;15.79;18.05
B;kE8E9;100-200;100-200;50-100;107.43;13.12;22.36
B;kE8E9;100-200;100-200;100-200;90.25;11.35;19.74
B;kE8E9;100-200;100-200;200-500;119.74;12.14;24.07
B;kE8E9;100-200;100-200;500-1000;118.03;7.88;24.78
B;kE8E9;100-200;200-500;<50;106.81;22.04;23.21
B;kE8E9;100-200;200-500;50-100;97.28;16.31;20.98
B;kE8E9;100-200;200-500;100-200;106.24;13.22;22.05
B;kE8E9;100-200;200-500;200-500;153.27;16.01;31.53
B;kE8E9;100-200;200-500;500-1000;215.49;12.16;43.56
B;kE8E9;100-200;200-500;1000-5000;505.03;17.71;101.94
B;kE8E9;100-200;500-1000;<50;94.7;18.43;20.57
B;kE8E9;100-200;500-1000;50-100;92.82;11.72;19.44
B;kE8E9;100-200;500-1000;100-200;91.67;12.03;19.2
B;kE8E9;100-200;500-1000;200-500;139.27;16.72;28.23
B;kE8E9;100-200;500-1000;500-1000;186.73;19.84;37.5
B;kE8E9;100-200;500-1000;1000-5000;350.78;17.72;71.6
B;kE8E9;100-200;1000-5000;50-100;78.3;6.51;16.63
B;kE8E9;100-200;1000-5000;100-200;69.53;8.31;14.56
